Language,Word,Meaning,Topic
Español,Negocio,사업/비즈니스,비즈니스
Español,Empresa,회사,비즈니스
Español,Corporación,기업/법인,비즈니스
Español,Oficina,사무실,비즈니스
Español,Departamento,부서,비즈니스
Español,Equipo,팀,비즈니스
Español,Personal,직원/스태프,비즈니스
Español,Empleado,직원(피고용인),비즈니스
Español,Empleador,고용주,비즈니스
Español,Gerente,매니저/관리자,비즈니스
Español,Jefe,상사,비즈니스
Español,Director ejecutivo (CEO),최고경영자,비즈니스
Español,Colega,동료,비즈니스
Español,Socio,파트너,비즈니스
Español,Cliente,고객/의뢰인,비즈니스
Español,Consumidor,고객,비즈니스
Español,Competidor,경쟁자,비즈니스
Español,Reunión,회의,비즈니스
Español,Conferencia,컨퍼런스/회담,비즈니스
Español,Agenda,안건/의제,비즈니스
Español,Presentación,발표/프레젠테이션,비즈니스
Español,Informe,보고서,비즈니스
Español,Proyecto,프로젝트,비즈니스
Español,Fecha límite,마감 기한,비즈니스
Español,Horario,일정,비즈니스
Español,Plan,계획,비즈니스
Español,Meta,목표,비즈니스
Español,Estrategia,전략,비즈니스
Español,Resultado,결과,비즈니스
Español,Éxito,성공,비즈니스
Español,Fracaso,실패,비즈니스
Español,Riesgo,위험,비즈니스
Español,Oportunidad,기회,비즈니스
Español,Desafío,도전/난제,비즈니스
Español,Contrato,계약,비즈니스
Español,Acuerdo,합의/협정,비즈니스
Español,Firma,서명,비즈니스
Español,Documento,문서,비즈니스
Español,Papeleo,서류 작업,비즈니스
Español,Archivo,파일,비즈니스
Español,Carpeta,폴더,비즈니스
Español,Copia,사본/복사,비즈니스
Español,Original,원본,비즈니스
Español,Escritorio,책상,비즈니스
Español,Silla,의자,비즈니스
Español,Ordenador,컴퓨터,비즈니스
Español,Portátil,노트북,비즈니스
Español,Correo electrónico,이메일,비즈니스
Español,Teléfono,전화,비즈니스
Español,Llamada,통화,비즈니스
Español,Mensaje,메시지,비즈니스
Español,Mercado,시장,비즈니스
Español,Producto,제품,비즈니스
Español,Servicio,서비스,비즈니스
Español,Precio,가격,비즈니스
Español,Coste,비용,비즈니스
Español,Beneficio,이익,비즈니스
Español,Ingresos,수익/매출,비즈니스
Español,Pérdida,손실,비즈니스
Español,Presupuesto,예산,비즈니스
Español,Impuesto,세금,비즈니스
Español,Factura,송장/청구서,비즈니스
Español,Recibo,영수증,비즈니스
Español,Sueldo,급여/월급,비즈니스
Español,Salario,임금,비즈니스
Español,Bono,보너스,비즈니스
Español,Ascenso,승진,비즈니스
Español,Contratación,고용/채용,비즈니스
Español,Entrevista,면접,비즈니스
Español,Currículum,이력서,비즈니스
Español,Trabajo,직업/일,비즈니스
Español,Carrera,경력/커리어,비즈니스
Español,Labor,업무/노동,비즈니스
Español,Tarea,과제/업무,비즈니스
Español,Deber,의무/직무,비즈니스
Español,Responsabilidad,책임,비즈니스
Español,Habilidad,기술/스킬,비즈니스
Español,Experiencia,경험,비즈니스
Español,Formación,훈련/연수,비즈니스
Español,Educación,교육,비즈니스
Español,Conocimiento,지식,비즈니스
Español,Idea,아이디어,비즈니스
Español,Solución,해결책,비즈니스
Español,Problema,문제,비즈니스
Español,Decisión,결정,비즈니스
Español,Negociación,협상,비즈니스
Español,Trato,거래,비즈니스
Español,Venta,판매,비즈니스
Español,Compra,구매,비즈니스
Español,Pedido,주문,비즈니스
Español,Entrega,배송,비즈니스
Español,Inventario,재고,비즈니스
Español,Suministro,공급,비즈니스
Español,Demanda,수요,비즈니스
Español,Marketing,마케팅,비즈니스
Español,Publicidad,광고,비즈니스
Español,Marca,브랜드,비즈니스
Español,Calidad,품질,비즈니스
Español,Crecimiento,성장,비즈니스
Español,Desarrollo,개발,비즈니스
Español,Inversión,투자,비즈니스
Español,Acciones,주식,비즈니스
Español,Economía,경제,비즈니스
Español,Industria,산업,비즈니스
Español,Fábrica,공장,비즈니스
Español,Sede central,본사,비즈니스
Español,Sucursal,지사/지점,비즈니스
Español,Internacional,국제적인,비즈니스
Español,Global,세계적인,비즈니스
Español,Local,지역의/현지의,비즈니스
