Language,Word,Meaning,Topic
English,Vehicle,차량/탈것,교통
English,Automobile,자동차,교통
English,Car,차,교통
English,Bicycle,자전거,교통
English,Bike,바이크/자전거,교통
English,Motorcycle,오토바이,교통
English,Truck,트럭,교통
English,Van,밴/승합차,교통
English,Scooter,스쿠터,교통
English,Skateboard,스케이트보드,교통
English,Ambulance,구급차,교통
English,Fire truck,소방차,교통
English,Police car,경찰차,교통
English,Helicopter,헬리콥터,교통
English,Wheel,바퀴,교통
English,Tire,타이어,교통
English,Engine,엔진,교통
English,Battery,배터리,교통
English,Brake,브레이크,교통
English,Accelerator,엑셀/가속 페달,교통
English,Steering wheel,핸들/운전대,교통
English,Gear,기어,교통
English,Horn,경적,교통
English,Bumper,범퍼,교통
English,Headlight,전조등/헤드라이트,교통
English,Wiper,와이퍼,교통
English,Trunk,트렁크,교통
English,Hood,보닛/후드,교통
English,Seatbelt,안전벨트,교통
English,Airbag,에어백,교통
English,Key,열쇠/차 키,교통
English,Gasoline,휘발유,교통
English,Diesel,경유/디젤,교통
English,Oil,오일/기름,교통
English,Fuel,연료,교통
English,Gas station,주유소,교통
English,Parking lot,주차장,교통
English,Garage,차고/정비소,교통
English,License plate,번호판,교통
English,Driver's license,운전면허증,교통
English,Mechanic,정비공,교통
English,Repair shop,카센터/수리점,교통
English,Road,길/도로,교통
English,Street,거리,교통
English,Avenue,가로수길/대로,교통
English,Highway,고속도로,교통
English,Freeway,고속화도로,교통
English,Lane,차선,교통
English,Bridge,다리/교량,교통
English,Tunnel,터널,교통
English,Overpass,고가도로/육교,교통
English,Underpass,지하도,교통
English,Intersection,교차로,교통
English,Crosswalk,횡단보도,교통
English,Sidewalk,인도/보도,교통
English,Corner,모퉁이/코너,교통
English,Traffic light,신호등,교통
English,Traffic sign,교통 표지판,교통
English,Stop sign,정지 표지판,교통
English,Speed limit,제한 속도,교통
English,Traffic jam,교통 체증,교통
English,Rush hour,러시아워,교통
English,Accident,사고,교통
English,Fine,벌금/범칙금,교통
English,Helmet,헬멧,교통
English,Navigation,내비게이션,교통
English,GPS,GPS,교통
English,Direction,방향,교통
English,Distance,거리(간격),교통
English,North,북쪽,교통
English,South,남쪽,교통
English,East,동쪽,교통
English,West,서쪽,교통
English,Left,왼쪽,교통
English,Right,오른쪽,교통
English,Straight,직진/똑바로,교통
English,Back,뒤/후진,교통
English,U-turn,유턴,교통
English,Shortcut,지름길,교통
English,Commute,통근하다,교통
English,Ride,타다(탈것),교통
English,Drive,운전하다,교통
English,Park,주차하다,교통
English,Turn,돌다/회전하다,교통
English,Cross,건너다,교통
English,Pass,추월하다/지나가다,교통
English,Crash,충돌하다,교통
English,Fast,빠른,교통
English,Slow,느린,교통
English,Safe,안전한,교통
English,Dangerous,위험한,교통
English,Near,가까운,교통
English,Far,먼,교통
English,Local,현지의/완행의,교통
English,Express,급행의,교통
English,Public,공공의,교통
English,Private,개인의/전용의,교통
English,Passenger seat,조수석,교통
English,Back seat,뒷좌석,교통
English,Pedestrian,보행자,교통
English,Cyclist,자전거 타는 사람,교통
English,Motorist,운전자,교통
