Language,Word,Meaning,Topic
English,Food,음식,음식
English,Meal,식사,음식
English,Breakfast,아침 식사,음식
English,Lunch,점심 식사,음식
English,Dinner,저녁 식사,음식
English,Snack,간식,음식
English,Dessert,디저트,음식
English,Appetizer,에피타이저,음식
English,Restaurant,식당,음식
English,Menu,메뉴,음식
English,Chef,요리사,음식
English,Waiter,웨이터,음식
English,Order,주문,음식
English,Bill,계산서,음식
English,Tip,팁,음식
English,Water,물,음식
English,Coffee,커피,음식
English,Tea,차(Tea),음식
English,Milk,우유,음식
English,Juice,주스,음식
English,Soda,탄산음료,음식
English,Beer,맥주,음식
English,Wine,와인,음식
English,Alcohol,술,음식
English,Bread,빵,음식
English,Rice,쌀/밥,음식
English,Noodle,국수,음식
English,Pasta,파스타,음식
English,Pizza,피자,음식
English,Hamburger,햄버거,음식
English,Sandwich,샌드위치,음식
English,Soup,수프,음식
English,Salad,샐러드,음식
English,Meat,고기,음식
English,Beef,소고기,음식
English,Pork,돼지고기,음식
English,Chicken,닭고기,음식
English,Steak,스테이크,음식
English,Ham,햄,음식
English,Sausage,소시지,음식
English,Bacon,베이컨,음식
English,Fish,생선,음식
English,Seafood,해산물,음식
English,Shrimp,새우,음식
English,Crab,게,음식
English,Egg,달걀,음식
English,Cheese,치즈,음식
English,Butter,버터,음식
English,Yogurt,요거트,음식
English,Ice cream,아이스크림,음식
English,Fruit,과일,음식
English,Apple,사과,음식
English,Banana,바나나,음식
English,Orange,오렌지,음식
English,Grape,포도,음식
English,Strawberry,딸기,음식
English,Lemon,레몬,음식
English,Peach,복숭아,음식
English,Watermelon,수박,음식
English,Vegetable,채소/야채,음식
English,Tomato,토마토,음식
English,Potato,감자,음식
English,Onion,양파,음식
English,Carrot,당근,음식
English,Garlic,마늘,음식
English,Cucumber,오이,음식
English,Corn,옥수수,음식
English,Mushroom,버섯,음식
English,Broccoli,브로콜리,음식
English,Lettuce,상추,음식
English,Pepper,후추/고추,음식
English,Salt,소금,음식
English,Sugar,설탕,음식
English,Sauce,소스,음식
English,Oil,기름/오일,음식
English,Taste,맛,음식
English,Delicious,맛있는,음식
English,Sweet,단,음식
English,Sour,신,음식
English,Salty,짠,음식
English,Bitter,쓴,음식
English,Spicy,매운,음식
English,Hot,뜨거운,음식
English,Cold,차가운,음식
English,Fresh,신선한,음식
English,Healthy,건강한,음식
English,Hungry,배고픈,음식
English,Thirsty,목마른,음식
English,Full,배부른,음식
English,Kitchen,부엌,음식
English,Fridge,냉장고,음식
English,Plate,접시,음식
English,Bowl,그릇,음식
English,Cup,컵,음식
English,Glass,유리잔,음식
English,Fork,포크,음식
English,Spoon,숟가락,음식
English,Knife,나이프/칼,음식
English,Chopsticks,젓가락,음식
English,Napkin,냅킨,음식
