Language,Word,Meaning,Topic
日本語,健康 (けんこう),건강,건강
日本語,体 (からだ),신체/몸,건강
日本語,頭 (あたま),머리,건강
日本語,髪 (かみ),머리카락,건강
日本語,顔 (かお),얼굴,건강
日本語,目 (め),눈,건강
日本語,耳 (みみ),귀,건강
日本語,鼻 (はな),코,건강
日本語,口 (くち),입,건강
日本語,歯 (は),이/치아,건강
日本語,舌 (した),혀,건강
日本語,唇 (くちびる),입술,건강
日本語,首 (くび),목,건강
日本語,肩 (かた),어깨,건강
日本語,腕 (うで),팔,건강
日本語,肘 (ひじ),팔꿈치,건강
日本語,手 (て),손,건강
日本語,指 (ゆび),손가락,건강
日本語,親指 (おやゆび),엄지손가락,건강
日本語,爪 (つめ),손톱,건강
日本語,胸 (むね),가슴,건강
日本語,背中 (せなか),등,건강
日本語,お腹 (おなか),배/위,건강
日本語,腰 (こし),허리,건강
日本語,お尻 (おしり),엉덩이,건강
日本語,脚 (あし),다리,건강
日本語,膝 (ひざ),무릎,건강
日本語,足 (あし),발,건강
日本語,つま先 (つまさき),발가락,건강
日本語,皮膚 (ひふ),피부,건강
日本語,筋肉 (きんにく),근육,건강
日本語,骨 (ほね),뼈,건강
日本語,血 (ち),피/혈액,건강
日本語,心臓 (しんぞう),심장,건강
日本語,脳 (のう),뇌,건강
日本語,肺 (はい),폐,건강
日本語,肝臓 (かんぞう),간,건강
日本語,腎臓 (じんぞう),신장/콩팥,건강
日本語,骨格 (こっかく),해골/골격,건강
日本語,背骨 (せぼね),척추,건강
日本語,神経 (しんけい),신경,건강
日本語,関節 (かんせつ),관절,건강
日本語,喉 (のど),목구멍,건강
日本語,病院 (びょういん),병원,건강
日本語,医師 (いし),의사,건강
日本語,看護師 (かんごし),간호사,건강
日本語,患者 (かんじゃ),환자,건강
日本語,予約 (よやく),진료 예약,건강
日本語,診断 (しんだん),진단,건강
日本語,治療 (ちりょう),치료,건강
日本語,手術 (しゅじゅつ),수술,건강
日本語,緊急 (きんきゅう),응급 상황,건강
日本語,救急車 (きゅうきゅうしゃ),구급차,건강
日本語,薬局 (やっきょく),약국,건강
日本語,薬剤師 (やくざいし),약사,건강
日本語,薬 (くすり),약,건강
日本語,錠剤 (じょうざい),알약,건강
日本語,タブレット,정제(알약),건강
日本語,カプセル,캡슐,건강
日本語,シロップ,시럽,건강
日本語,注射 (ちゅうしゃ),주사,건강
日本語,ワクチン,백신,건강
日本語,処方箋 (しょほうせん),처방전,건강
日本語,包帯 (ほうたい),붕대/반창고,건강
日本語,応急処置 (おうきゅうしょち),응급 처치,건강
日本語,病気 (びょうき),질병,건강
日本語,疾患 (しっかん),병/아픔,건강
日本語,病気 (びょうき),아픈(상태),건강
日本語,痛み (いたみ),고통/통증,건강
日本語,熱 (ねつ),열,건강
日本語,咳 (せき),기침,건강
日本語,風邪 (かぜ),감기,건강
日本語,インフルエンザ,독감,건강
日本語,頭痛 (ずつう),두통,건강
日本語,腹痛 (ふくつう),복통,건강
日本語,歯痛 (しつう),치통,건강
日本語,喉の痛み (のどのいたみ),인후통,건강
日本語,怪我 (けが),부상,건강
日本語,傷 (きず),상처,건강
日本語,火傷 (やけど),화상,건강
日本語,切り傷 (きりきず),베인 상처,건강
日本語,痣 (あざ),멍/타박상,건강
日本語,感染 (かんせん),감염,건강
日本語,アレルギー,알레르기,건강
日本語,癌 (がん),암,건강
日本語,糖尿病 (とうにょうびょう),당뇨병,건강
日本語,血圧 (けつあつ),혈압,건강
日本語,脈拍 (みゃくはく),맥박,건강
日本語,体温 (たいおん),체온,건강
日本語,食事 (しょくじ),식단/다이어트,건강
日本語,運動 (うんどう),운동,건강
日本語,睡眠 (すいみん),수면,건강
日本語,ストレス,스트레스,건강
日本語,体重 (たいじゅう),체중,건강
日本語,身長 (しんちょう),신장/키,건강
日本語,健康 (けんこう),건강한,건강
日本語,弱い (よわい),약한,건강
日本語,強い (つよい),튼튼한/강한,건강
日本語,回復する (かいふくする),회복하다,건강
日本語,治す (なおす),치료하다,건강
