Language,Word,Meaning,Topic
English,Emotion,감정,감정
English,Feeling,느낌/기분,감정
English,Mood,기분/분위기,감정
English,Personality,성격,감정
English,Character,성품/인격,감정
English,Happy,행복한,감정
English,Sad,슬픈,감정
English,Angry,화난,감정
English,Excited,신이 난/흥분한,감정
English,Bored,지루한,감정
English,Tired,피곤한,감정
English,Sleepy,졸린,감정
English,Scared,무서운/겁먹은,감정
English,Nervous,긴장한/불안한,감정
English,Surprised,놀란,감정
English,Shy,부끄러워하는,감정
English,Proud,자랑스러운,감정
English,Confused,혼란스러운,감정
English,Disappointed,실망한,감정
English,Lonely,외로운,감정
English,Jealous,질투하는,감정
English,Envious,부러워하는,감정
English,Calm,차분한/침착한,감정
English,Relaxed,편안한/여유로운,감정
English,Stressed,스트레스 받은,감정
English,Worried,걱정하는,감정
English,Anxious,불안해하는,감정
English,Upset,속상한,감정
English,Annoyed,짜증 난,감정
English,Frustrated,좌절한/답답한,감정
English,Shocked,충격받은,감정
English,Amazed,감탄한,감정
English,Curious,호기심 많은,감정
English,Interested,관심 있는,감정
English,Indifferent,무관심한,감정
English,Brave,용감한,감정
English,Cowardly,겁이 많은,감정
English,Confident,자신감 있는,감정
English,Doubtful,의심하는,감정
English,Hopeful,희망찬,감정
English,Hopeless,절망적인,감정
English,Guilty,죄책감을 느끼는,감정
English,Innocent,결백한/순수한,감정
English,Ashamed,부끄러운(창피한),감정
English,Embarrassed,당황한/쪽팔린,감정
English,Friendly,친절한/우호적인,감정
English,Unfriendly,불친절한,감정
English,Kind,친절한/착한,감정
English,Mean,심술궂은/못된,감정
English,Rude,무례한,감정
English,Polite,예의 바른,감정
English,Honest,정직한,감정
English,Dishonest,부정직한,감정
English,Smart,똑똑한,감정
English,Foolish,어리석은,감정
English,Funny,재미있는/웃긴,감정
English,Serious,심각한/진지한,감정
English,Quiet,조용한,감정
English,Loud,시끄러운,감정
English,Active,활동적인,감정
English,Lazy,게으른,감정
English,Cheerful,쾌활한,감정
English,Gloomy,우울한,감정
English,Optimistic,낙천적인,감정
English,Pessimistic,비관적인,감정
English,Grateful,감사하는,감정
English,Greedy,탐욕스러운,감정
English,Generous,관대한/후한,감정
English,Selfish,이기적인,감정
English,Humble,겸손한,감정
English,Arrogant,거만한,감정
English,Patient,인내심 있는,감정
English,Impatient,성급한,감정
English,Satisfied,만족한,감정
English,Dissatisfied,불만족한,감정
English,Comfortable,편안한,감정
English,Uncomfortable,불편한,감정
English,Creative,창의적인,감정
English,Dull,지루한/둔한,감정
English,Emotional,감정적인,감정
English,Rational,이성적인,감정
English,Sensitive,예민한/민감한,감정
English,Insensitive,둔감한,감정
English,Sympathetic,동정하는,감정
English,Cold,차가운(성격),감정
English,Warm,따뜻한(성격),감정
English,Love,사랑,감정
English,Hate,증오/혐오,감정
English,Like,좋아함,감정
English,Dislike,싫어함,감정
English,Fear,두려움/공포,감정
English,Anger,분노,감정
English,Joy,기쁨,감정
English,Sorrow,슬픔,감정
English,Pleasure,즐거움,감정
English,Pain,고통,감정
English,Surprise,놀라움,감정
English,Trust,신뢰/믿음,감정
English,Distrust,불신,감정
English,Respect,존경,감정
English,Disrespect,무례/결례,감정
English,Pity,연민/동정,감정
English,Shame,수치심,감정
English,Guilt,죄책감,감정
English,Attitude,태도,감정
English,Smile,미소,감정
English,Cry,울음,감정
English,Laugh,웃음,감정
English,Tear,눈물,감정
