Language,Word,Meaning,Topic
English,Daily life,일상생활,일상생활
English,Routine,일과/루틴,일상생활
English,Morning,아침,일상생활
English,Afternoon,오후,일상생활
English,Evening,저녁,일상생활
English,Night,밤,일상생활
English,Midnight,자정,일상생활
English,Wake up,일어나다,일상생활
English,Sleep,자다,일상생활
English,Dream,꿈/꿈꾸다,일상생활
English,Wash,씻다,일상생활
English,Bath,목욕,일상생활
English,Soap,비누,일상생활
English,Shampoo,샴푸,일상생활
English,Toothbrush,칫솔,일상생활
English,Toothpaste,치약,일상생활
English,Comb,빗,일상생활
English,Shave,면도하다,일상생활
English,Makeup,화장,일상생활
English,Tissue,휴지,일상생활
English,House,집(건물),일상생활
English,Home,가정/집,일상생활
English,Apartment,아파트,일상생활
English,Living room,거실,일상생활
English,Bedroom,침실,일상생활
English,Bathroom,화장실/욕실,일상생활
English,Balcony,베란다/발코니,일상생활
English,Door,문,일상생활
English,Curtain,커튼,일상생활
English,Floor,바닥,일상생활
English,Wall,벽,일상생활
English,Ceiling,천장,일상생활
English,Roof,지붕,일상생활
English,Garden,정원,일상생활
English,Garage,차고,일상생활
English,Furniture,가구,일상생활
English,Sofa,소파,일상생활
English,Table,탁자/테이블,일상생활
English,Pillow,베개,일상생활
English,Blanket,담요/이불,일상생활
English,Lamp,램프/전등,일상생활
English,Light,빛/조명,일상생활
English,Switch,스위치,일상생활
English,Clock,시계,일상생활
English,Calendar,달력,일상생활
English,Mirror,거울,일상생활
English,Television,텔레비전,일상생활
English,Radio,라디오,일상생활
English,Cleaning,청소,일상생활
English,Trash,쓰레기,일상생활
English,Laundry,빨래/세탁,일상생활
English,Iron,다리미,일상생활
English,Broom,빗자루,일상생활
English,Clothes,옷,일상생활
English,Shirt,셔츠,일상생활
English,Pants,바지,일상생활
English,Dress,원피스/드레스,일상생활
English,Skirt,치마,일상생활
English,Jacket,재킷,일상생활
English,Coat,코트,일상생활
English,Shoes,신발,일상생활
English,Socks,양말,일상생활
English,Hat,모자,일상생활
English,Glasses,안경,일상생활
English,Umbrella,우산,일상생활
English,Bag,가방,일상생활
English,Wallet,지갑,일상생활
English,Watch,손목시계,일상생활
English,Weather,날씨,일상생활
English,Sun,태양/해,일상생활
English,Moon,달,일상생활
English,Star,별,일상생활
English,Sky,하늘,일상생활
English,Cloud,구름,일상생활
English,Rain,비,일상생활
English,Snow,눈(날씨),일상생활
English,Wind,바람,일상생활
English,Storm,폭풍,일상생활
English,Spring,봄,일상생활
English,Summer,여름,일상생활
English,Autumn,가을,일상생활
English,Winter,겨울,일상생활
English,Family,가족,일상생활
English,Parents,부모님,일상생활
English,Father,아버지,일상생활
English,Mother,어머니,일상생활
English,Husband,남편,일상생활
English,Wife,아내,일상생활
English,Baby,아기,일상생활
English,Son,아들,일상생활
English,Daughter,딸,일상생활
English,Brother,남자 형제,일상생활
English,Sister,여자 형제,일상생활
English,Grandfather,할아버지,일상생활
English,Grandmother,할머니,일상생활
English,Friend,친구,일상생활
English,Neighbor,이웃,일상생활
English,Pet,애완동물,일상생활
English,Dog,개/강아지,일상생활
English,Cat,고양이,일상생활
