Language,Word,Meaning,Topic
Español,Emoción,감정,감정
Español,Sentimiento,느낌/기분,감정
Español,Estado de ánimo,기분/분위기,감정
Español,Personalidad,성격,감정
Español,Carácter,성품/인격,감정
Español,Feliz,행복한,감정
Español,Triste,슬픈,감정
Español,Enojado,화난,감정
Español,Emocionado,신이 난/흥분한,감정
Español,Aburrido,지루한,감정
Español,Cansado,피곤한,감정
Español,Soñoliento,졸린,감정
Español,Asustado,무서운/겁먹은,감정
Español,Nervioso,긴장한/불안한,감정
Español,Sorprendido,놀란,감정
Español,Tímido,부끄러워하는,감정
Español,Orgulloso,자랑스러운,감정
Español,Confundido,혼란스러운,감정
Español,Decepcionado,실망한,감정
Español,Solitario,외로운,감정
Español,Celoso,질투하는,감정
Español,Envidioso,부러워하는,감정
Español,Calmado,차분한/침착한,감정
Español,Relajado,편안한/여유로운,감정
Español,Estresado,스트레스 받은,감정
Español,Preocupado,걱정하는,감정
Español,Ansioso,불안해하는,감정
Español,Molesto,속상한/짜증 난,감정
Español,Irritado,짜증 난,감정
Español,Frustrado,좌절한/답답한,감정
Español,Conmocionado,충격받은,감정
Español,Asombrado,감탄한,감정
Español,Curioso,호기심 많은,감정
Español,Interesado,관심 있는,감정
Español,Indiferente,무관심한,감정
Español,Valiente,용감한,감정
Español,Cobarde,겁이 많은,감정
Español,Seguro,자신감 있는,감정
Español,Dudoso,의심하는,감정
Español,Esperanzado,희망찬,감정
Español,Desesperado,절망적인,감정
Español,Culpable,죄책감을 느끼는,감정
Español,Inocente,결백한/순수한,감정
Español,Avergonzado,부끄러운(창피한),감정
Español,Apenado,당황한,감정
Español,Amigable,친절한/우호적인,감정
Español,Antipático,불친절한,감정
Español,Amable,친절한/착한,감정
Español,Malvado,심술궂은/못된,감정
Español,Grosero,무례한,감정
Español,Cortés,예의 바른,감정
Español,Honesto,정직한,감정
Español,Deshonesto,부정직한,감정
Español,Inteligente,똑똑한,감정
Español,Tonto,어리석은,감정
Español,Gracioso,재미있는/웃긴,감정
Español,Serio,심각한/진지한,감정
Español,Callado,조용한,감정
Español,Ruidoso,시끄러운,감정
Español,Activo,활동적인,감정
Español,Perezoso,게으른,감정
Español,Alegre,쾌활한,감정
Español,Melancólico,우울한,감정
Español,Optimista,낙천적인,감정
Español,Pesimista,비관적인,감정
Español,Agradecido,감사하는,감정
Español,Codicioso,탐욕스러운,감정
Español,Generoso,관대한/후한,감정
Español,Egoísta,이기적인,감정
Español,Humilde,겸손한,감정
Español,Arrogante,거만한,감정
Español,Paciente,인내심 있는,감정
Español,Impaciente,성급한,감정
Español,Satisfecho,만족한,감정
Español,Insatisfecho,불만족한,감정
Español,Cómodo,편안한,감정
Español,Incómodo,불편한,감정
Español,Creativo,창의적인,감정
Español,Soso,지루한/둔한,감정
Español,Emocional,감정적인,감정
Español,Racional,이성적인,감정
Español,Sensible,예민한/민감한,감정
Español,Insensible,둔감한,감정
Español,Compasivo,동정하는,감정
Español,Frío,차가운(성격),감정
Español,Cálido,따뜻한(성격),감정
Español,Amor,사랑,감정
Español,Odio,증오/혐오,감정
Español,Gusto,좋아함,감정
Español,Disgusto,싫어함,감정
Español,Miedo,두려움/공포,감정
Español,Ira,분노,감정
Español,Alegría,기쁨,감정
Español,Tristeza,슬픔,감정
Español,Placer,즐거움,감정
Español,Dolor,고통,감정
Español,Sorpresa,놀라움,감정
Español,Confianza,신뢰/믿음,감정
Español,Desconfianza,불신,감정
Español,Respeto,존경,감정
Español,Falta de respeto,무례/결례,감정
Español,Piedad,연민/동정,감정
Español,Vergüenza,수치심,감정
Español,Culpa,죄책감,감정
Español,Actitud,태도,감정
Español,Sonrisa,미소,감정
Español,Llanto,울음,감정
Español,Risa,웃음,감정
Español,Lágrima,눈물,감정
