Language,Word,Meaning,Topic
日本語,技術 (ぎじゅつ),기술,기술
日本語,コンピューター,컴퓨터,기술
日本語,ノートパソコン,노트북,기술
日本語,スマートフォン,스마트폰,기술
日本語,タブレット,태블릿,기술
日本語,画面 (がめん),화면/스크린,기술
日本語,キーボード,키보드,기술
日本語,マウス,마우스,기술
日本語,モニター,모니터,기술
日本語,ハードウェア,하드웨어,기술
日本語,ソフトウェア,소프트웨어,기술
日本語,プログラム,프로그램,기술
日本語,アプリケーション,애플리케이션,기술
日本語,プラットフォーム,플랫폼,기술
日本語,システム,시스템,기술
日本語,ネットワーク,네트워크,기술
日本語,インターネット,인터넷,기술
日本語,ウェブサイト,웹사이트,기술
日本語,ブラウザ,브라우저,기술
日本語,リンク,링크,기술
日本語,サーバー,서버,기술
日本語,クラウド,클라우드,기술
日本語,データ,데이터,기술
日本語,データベース,데이터베이스,기술
日本語,ファイル,파일,기술
日本語,フォルダー,폴더,기술
日本語,文書 (ぶんしょ),문서,기술
日本語,コード,코드,기술
日本語,コーディング,코딩,기술
日本語,プログラミング,프로그래ミング,기술
日本語,開発者 (かいはつしゃ),개발자,기술
日本語,ユーザー,사용자,기술
日本語,パスワード,비밀번호,기술
日本語,セキュリティ,보안,기술
日本語,ウイルス,바이러스,기술
日本語,ハッカー,해커,기술
日本語,ファイアウォール,방화벽,기술
日本語,アップデート,업데이트,기술
日本語,バージョン,버전,기술
日本語,エラー,오류/에러,기술
日本語,バグ,버그,기술
日本語,解決策 (かいけつさく),해결책/솔루션,기술
日本語,メモリ,메모리,기술
日本語,ストレージ,저장소/스토리지,기술
日本語,バッテリー,배터리,기술
日本語,充電器 (じゅうでんき),충전기,기술
日本語,ケーブル,케이블,기술
日本語,ポート,포트,기술
日本語,接続 (せつぞく),연결,기술
日本語,Wi-Fi (ワイファイ),와이파이,기술
日本語,ブルートゥース,블루투스,기술
日本語,信号 (しんごう),신호,기술
日本語,速度 (そくど),속도,기술
日本語,ダウンロード,다운로드,기술
日本語,アップロード,업로드,기술
日本語,インストール,설치하다,기술
日本語,削除 (さくじょ),삭제하다,기술
日本語,保存 (ほぞん),저장하다,기술
日本語,検索 (けんさく),검색하다,기술
日本語,クリック,클릭하다,기술
日本語,押す (おす),누르다,기술
日本語,入力 (にゅうりょく),입력하다/타이핑하다,기술
日本語,コピー,복사하다,기술
日本語,貼り付け (はりつけ),붙여넣다,기술
日本語,切り取り (きりとり),자르다,기술
日本語,印刷 (いんさつ),인쇄하다,기술
日本語,スキャン,스캔하다,기술
日本語,電子メール (Eメール),이메일,기술
日本語,チャット,채팅,기술
日本語,ソーシャルメディア,소셜 미디어(SNS),기술
日本語,メッセージ,메시지,기술
日本語,動画 (どうが),비디오/영상,기술
日本語,音声 (おんせい),오디오/음성,기술
日本語,画像 (がぞう),이미지,기술
日本語,カメラ,카메라,기술
日本語,マイク,마이크,기술
日本語,スピーカー,스피커,기술
日本語,ヘッドフォン,헤드폰,기술
日本語,ロボット,로봇,기술
日本語,人工知能 (AI),인공지능,기술
日本語,機械 (きかい),기계,기술
日本語,装置 (そうち),장치/기기,기술
日本語,ツール,도구,기술
日本語,デジタル,디지털,기술
日本語,仮想 (かそう),가상,기술
日本語,オンライン,온라인,기술
日本語,オフライン,오프라인,기술
日本語,無線 (むせん),무선,기술
日本語,スマート,스마트/똑똑한,기술
日本語,自動 (じどう),자동,기술
日本語,革新 (かくしん),혁신,기술
日本語,科学 (かがく),과학,기술
日本語,工学 (こうがく),공학,기술
日本語,電子工学 (でんしこうがく),전자 공학/기기,기술
日本語,モバイル,모바일,기술
日本語,デスクトップ,데스크탑,기술
日本語,ログイン,로그인,기술
日本語,ログアウト,로그아웃,기술
日本語,アカウント,계정,기술
日本語,プロフィール,프로필,기술
