Language,Word,Meaning,Topic
English,Technology,기술,기술
English,Computer,컴퓨터,기술
English,Laptop,노트북,기술
English,Smartphone,스마트폰,기술
English,Tablet,태블릿,기술
English,Screen,화면/스크린,기술
English,Keyboard,키보드,기술
English,Mouse,마우스,기술
English,Monitor,모니터,기술
English,Hardware,하드웨어,기술
English,Software,소프트웨어,기술
English,Program,프로그램,기술
English,Application,애플리케이션/응용프로그램,기술
English,Platform,플랫폼,기술
English,System,시스템,기술
English,Network,네트워크,기술
English,Internet,인터넷,기술
English,Website,웹사이트,기술
English,Browser,브라우저,기술
English,Link,링크,기술
English,Server,서버,기술
English,Cloud,클라우드,기술
English,Data,데이터,기술
English,Database,데이터베이스,기술
English,File,파일,기술
English,Folder,폴더,기술
English,Document,문서,기술
English,Code,코드,기술
English,Coding,코딩,기술
English,Programming,프로그래밍,기술
English,Developer,개발자,기술
English,User,사용자,기술
English,Password,비밀번호,기술
English,Security,보안,기술
English,Virus,바이러스,기술
English,Hacker,해커,기술
English,Firewall,방화벽,기술
English,Update,업데이트,기술
English,Version,버전,기술
English,Error,오류/에러,기술
English,Bug,버그,기술
English,Solution,해결책/솔루션,기술
English,Memory,메모리,기술
English,Storage,저장소/스토리지,기술
English,Battery,배터리,기술
English,Charger,충전기,기술
English,Cable,케이블,기술
English,Port,포트,기술
English,Connection,연결,기술
English,Wi-Fi,와이파이,기술
English,Bluetooth,블루투스,기술
English,Signal,신호,기술
English,Speed,속도,기술
English,Download,다운로드,기술
English,Upload,업로드,기술
English,Install,설치하다,기술
English,Delete,삭제하다,기술
English,Save,저장하다,기술
English,Search,검색하다,기술
English,Click,클릭하다,기술
English,Press,누르다,기술
English,Type,입력하다/타이핑하다,기술
English,Copy,복사하다,기술
English,Paste,붙여넣다,기술
English,Cut,자르다,기술
English,Print,인쇄하다,기술
English,Scan,스캔하다,기술
English,Email,이메일,기술
English,Chat,채팅,기술
English,Social Media,소셜 미디어(SNS),기술
English,Message,메시지,기술
English,Video,비디오/영상,기술
English,Audio,오디오/음성,기술
English,Image,이미지,기술
English,Camera,카메라,기술
English,Microphone,마이크,기술
English,Speaker,스피커,기술
English,Headphone,헤드폰,기술
English,Robot,로봇,기술
English,AI (Artificial Intelligence),인공지능,기술
English,Machine,기계,기술
English,Device,장치/기기,기술
English,Tool,도구,기술
English,Digital,디지털,기술
English,Virtual,가상,기술
English,Online,온라인,기술
English,Offline,오프라인,기술
English,Wireless,무선,기술
English,Smart,스마트/똑똑한,기술
English,Automatic,자동,기술
English,Innovation,혁신,기술
English,Science,과학,기술
English,Engineering,공학,기술
English,Electronics,전자 공학/전자 기기,기술
English,Mobile,모바일,기술
English,Desktop,데스크탑,기술
English,Login,로그인,기술
English,Logout,로그아웃,기술
English,Account,계정,기술
English,Profile,프로필,기술
