Language,Word,Meaning,Topic
日本語,食べ物 (たべもの),음식,음식
日本語,食事 (しょくじ),식사,음식
日本語,朝食 (ちょうしょく),아침 식사,음식
日本語,昼食 (ちゅうしょく),점심 식사,음식
日本語,夕食 (ゆうしょく),저녁 식사,음식
日本語,おやつ,간식,음식
日本語,デザート,디저트,음식
日本語,前菜 (ぜんさい),에피타이저,음식
日本語,レストラン,식당,음식
日本語,メニュー,메뉴,음식
日本語,シェフ,요리사,음식
日本語,ウェイター,웨이터,음식
日本語,注文 (ちゅうもん),주문,음식
日本語,お勘定 (おかんじょう),계산서,음식
日本語,チップ,팁,음식
日本語,水 (みず),물,음식
日本語,コーヒー,커피,음식
日本語,お茶 (おちゃ),차(Tea),음식
日本語,牛乳 (ぎゅうにゅう),우유,음식
日本語,ジュース,주스,음식
日本語,炭酸飲料 (たんさんいんりょう),탄산음료,음식
日本語,ビール,맥주,음식
日本語,ワイン,와인,음식
日本語,お酒 (おさけ),술,음식
日本語,パン,빵,음식
日本語,ご飯 (ごはん),쌀/밥,음식
日本語,麺 (めん),국수,음식
日本語,パスタ,파스타,음식
日本語,ピザ,피자,음식
日本語,ハンバーガー,햄버거,음식
日本語,サンドイッチ,샌드위치,음식
日本語,スープ,수프,음식
日本語,サラダ,샐러드,음식
日本語,肉 (にく),고기,음식
日本語,牛肉 (ぎゅうにく),소고기,음식
日本語,豚肉 (ぶたにく),돼지고기,음식
日本語,鶏肉 (とりにく),닭고기,음식
日本語,ステーキ,스테이크,음식
日本語,ハム,햄,음식
日本語,ソーセージ,소시지,음식
日本語,ベーコン,베이컨,음식
日本語,魚 (さかな),생선,음식
日本語,魚介類 (ぎょかいるい),해산물,음식
日本語,海老 (えび),새우,음식
日本語,蟹 (かに),게,음식
日本語,卵 (たまご),달걀,음식
日本語,チーズ,치즈,음식
日本語,バター,버터,음식
日本語,ヨーグルト,요거트,음식
日本語,アイスクリーム,아이스크림,음식
日本語,果物 (くだもの),과일,음식
日本語,林檎 (りんご),사과,음식
日本語,バナナ,바나나,음식
日本語,オレンジ,오렌지,음식
日本語,葡萄 (ぶどう),포도,음식
日本語,苺 (いちご),딸기,음식
日本語,レモン,레몬,음식
日本語,桃 (もも),복숭아,음식
日本語,西瓜 (すいか),수박,음식
日本語,野菜 (やさい),채소/야채,음식
日本語,トマト,토마토,음식
日本語,じゃがいも,감자,음식
日本語,玉ねぎ (たまねぎ),양파,음식
日本語,人参 (にんじん),당근,음식
日本語,大蒜 (にんにく),마늘,음식
日本語,胡瓜 (きゅうり),오이,음식
日本語,トウモロコシ,옥수수,음식
日本語,茸 (きのこ),버섯,음식
日本語,ブロッコリー,브로콜리,음식
日本語,レタス,상추,음식
日本語,胡椒 (こしょう),후추/고추,음식
日本語,塩 (しお),소금,음식
日本語,砂糖 (さとう),설탕,음식
日本語,ソース,소스,음식
日本語,油 (あぶら),기름/오일,음식
日本語,味 (あじ),맛,음식
日本語,美味しい (おいしい),맛있는,음식
日本語,甘い (あまい),단,음식
日本語,酸っぱい (すっぱい),신,음식
日本語,塩辛い (しおからい),짠,음식
日本語,苦い (にがい),쓴,음식
日本語,辛い (からい),매운,음식
日本語,熱い (あつい),뜨거운,음식
日本語,冷たい (つめたい),차가운,음식
日本語,新鮮 (しんせん),신선한,음식
日本語,健康的 (けんこうてき),건강한,음식
日本語,空腹 (くうふく),배고픈,음식
日本語,喉が渇いた (のどがかわいた),목마른,음식
日本語,満腹 (まんぷく),배부른,음식
日本語,台所 (だいどころ),부엌,음식
日本語,冷蔵庫 (れいぞうこ),냉장고,음식
日本語,皿 (さら),접시,음식
日本語,お椀 (おわん),그릇,음식
日本語,カップ,컵,음식
日本語,グラス,유리잔,음식
日本語,フォーク,포크,음식
日本語,スプーン,숟가락,음식
日本語,ナイフ,나이프/칼,음식
日本語,箸 (はし),젓가락,음식
日本語,ナプキン,냅킨,음식
