Language,Word,Meaning,Topic
日本語,時間 (じかん),시간,미분류
日本語,人 (ひと),사람,미분류
日本語,年 (とし),년(해),미분류
日本語,方法 (ほうほう),방법/길,미분류
日本語,日 (ひ),하루/낮,미분류
日本語,物 (もの),것/물건,미분류
日本語,世界 (せかい),세계/세상,미분류
日本語,人生 (じんせい),삶/인생,미분류
日本語,手 (て),손,미분류
日本語,部分 (ぶぶん),부분,미분류
日本語,子供 (こども),아이,미분류
日本語,目 (め),눈,미분류
日本語,女性 (じょせい),여자,미분류
日本語,場所 (ばしょ),장소,미분류
日本語,週 (しゅう),주(일주일),미분류
日本語,場合 (ばあい),경우/사건,미분류
日本語,点 (てん),요점/점수,미분류
日本語,会社 (かいしゃ),회사/동료,미분류
日本語,番号 (ばんごう),숫자/번호,미분류
日本語,グループ,그룹/단체,미분류
日本語,問題 (もんだい),문제,미분류
日本語,事実 (じじつ),사실,미분류
日本語,良い (よい),좋은,미분류
日本語,新しい (あたらしい),새로운,미분류
日本語,最初 (さいしょ),첫번째의,미분류
日本語,最後 (さいご),마지막의,미분류
日本語,長い (ながい),긴,미분류
日本語,偉大 (いだい),위대한/큰,미분류
日本語,少し (すこし),작은/적은,미분류
日本語,自身 (じしん),자신의,미분류
日本語,他 (ほか),다른,미분류
日本語,古い (ふるい),오래된/늙은,미분류
日本語,右 (みぎ),오른쪽/옳은,미분류
日本語,大きい (おおきい),큰,미분류
日本語,高い (たかい),높은,미분류
日本語,違う (ちがう),다른,미분류
日本語,小さい (ちいさい),작은,미분류
日本語,巨大 (きょだい),거대한,미분류
日本語,次 (つぎ),다음의,미분류
日本語,早い (はやい),일찍,미분류
日本語,若い (わかい),젊은/어린,미분류
日本語,重要 (じゅうよう),중요한,미분류
日本語,少数 (しょうすう),소수의/거의 없는,미분류
日本語,公共 (こうきょう),공공의/대중의,미분류
日本語,悪い (わるい),나쁜,미분류
日本語,同じ (おなじ),같은,미분류
日本語,可能 (かのう),할 수 있는,미분류
日本語,〜へ,에게/쪽으로,미분류
日本語,〜の,의,미분류
日本語,中 (なか),안에,미분류
日本語,〜のために,위해/동안,미분류
日本語,上 (うえ),위에,미분류
日本語,〜と一緒に,함께,미분류
日本語,〜で,에(장소/시간),미분류
日本語,〜によって,의해/옆에,미분류
日本語,〜から,로부터,미분류
日本語,上へ (うえへ),위로,미분류
日本語,〜について,대하여,미분류
日本語,中へ (なかへ),안으로,미분류
日本語,越えて (こえて),너머로/위에,미분류
日本語,後で (あとで),후에,미분류
日本語,〜である,이다/있다,미분류
日本語,持つ (もつ),가지다,미분류
日本語,する,하다,미분류
日本語,言う (いう),말하다,미분류
日本語,得る (える),얻다/되다,미분류
日本語,作る (つくる),만들다,미분류
日本語,行く (いく),가다,미분류
日本語,知る (しる),알다,미분류
日本語,取る (とる),가져가다/타다,미분류
日本語,見る (みる),보다,미분류
日本語,来る (くる),오다,미분류
日本語,考える (かんがえる),생각하다,미분류
日本語,見る (みる),보다/보이다,미분류
日本語,欲しい (ほしい),원하다,미분류
日本語,与える (あたえる),주다,미분류
日本語,使う (つかう),사용하다,미분류
日本語,見つける (みつける),찾다/알아내다,미분류
日本語,話す (はなす),말하다,미분류
日本語,尋ねる (たずねる),묻다/요청하다,미분류
日本語,働く (はたらく),일하다,미분류
日本語,見える (みえる),보이다/인 것 같다,미분류
日本語,感じる (かんじる),느끼다,미분류
日本語,試す (ためす),시도하다/노력하다,미분류
日本語,去る (さる),떠나다/남기다,미분류
日本語,呼ぶ (よぶ),부르다/전화하다,미분류
日本語,多分 (たぶん),아마도,미분류
日本語,いつも,항상,미분류
日本語,決して (けっして),결코 ~않다,미분류
日本語,しばしば,종종/자주,미분류
日本語,今日 (きょう),오늘,미분류
日本語,明日 (あした),내일,미분류
日本語,昨日 (きのう),어제,미분류
日本語,ここ,여기,미분류
日本語,そこ,거기,미분류
日本語,なぜ,왜,미분류
日本語,いつ,언제,미분류
日本語,どこ,어디,미분류
日本語,何 (なに),무엇,미분류
日本語,誰 (だれ),누구,미분류
