Language,Word,Meaning,Topic
日本語,乗り物 (のりもの),차량/탈것,교통
日本語,自動車 (じどうしゃ),자동차,교통
日本語,車 (くるま),차,교통
日本語,自転車 (じてんしゃ),자전거,교통
日本語,バイク,바이크/자전거,교통
日本語,オートバイ,오토바이,교통
日本語,トラック,트럭,교통
日本語,バン,밴/승합차,교통
日本語,スクーター,스쿠터,교통
日本語,スケートボード,스케이트보드,교통
日本語,救急車 (きゅうきゅうしゃ),구급차,교통
日本語,消防車 (しょうぼうしゃ),소방차,교통
日本語,パトカー,경찰차,교통
日本語,ヘリコプター,헬리콥터,교통
日本語,車輪 (しゃりん),바퀴,교통
日本語,タイヤ,타이어,교통
日本語,エンジン,엔진,교통
日本語,バッテリー,배터리,교통
日本語,ブレーキ,브레이크,교통
日本語,アクセル,엑셀/가속 페달,교통
日本語,ハンドル,핸들/운전대,교통
日本語,ギア,기어,교통
日本語,クラクション,경적,교통
日本語,バンパー,범퍼,교통
日本語,ヘッドライト,전조등/헤드라이트,교통
日本語,ワイパー,와이퍼,교통
日本語,トランク,트렁크,교통
日本語,ボンネット,보닛/후드,교통
日本語,シートベルト,안전벨트,교통
日本語,エアバッグ,에어백,교통
日本語,鍵 (かぎ),열쇠/차 키,교통
日本語,ガソリン,휘발유,교통
日本語,ディーゼル,경유/디젤,교통
日本語,オイル,오일/기름,교통
日本語,燃料 (ねんりょう),연료,교통
日本語,ガソリンスタンド,주유소,교통
日本語,駐車場 (ちゅうしゃじょう),주차장,교통
日本語,車庫 (しゃこ),차고/정비소,교통
日本語,ナンバープレート,번호판,교통
日本語,運転免許証 (うんてんめんきょしょう),운전면허증,교통
日本語,整備士 (せいびし),정비공,교통
日本語,修理工場 (しゅうりこうじょう),카센터/수리점,교통
日本語,道 (みち),길/도로,교통
日本語,通り (とおり),거리,교통
日本語,大通り (おおどおり),가로수길/대로,교통
日本語,高速道路 (こうそくどうろ),고속도로,교통
日本語,フリーウェイ,고속화도로,교통
日本語,車線 (しゃせん),차선,교통
日本語,橋 (はし),다리/교량,교통
日本語,トンネル,터널,교통
日本語,陸橋 (りっきょう),고가도로/육교,교통
日本語,地下道 (ちかどう),지하도,교통
日本語,交差点 (こうさてん),교차로,교통
日本語,横断歩道 (おうだんほどう),횡단보도,교통
日本語,歩道 (ほどう),인도/보도,교통
日本語,角 (かど),모퉁이/코너,교통
日本語,信号機 (しんごうき),신호등,교통
日本語,道路標識 (どうろひょうしき),교통 표지판,교통
日本語,一時停止 (いちじていし),정지 표지판,교통
日本語,制限速度 (せいげんそくど),제한 속도,교통
日本語,渋滞 (じゅうたい),교통 체증,교통
日本語,ラッシュアワー,러시아워,교통
日本語,事故 (じこ),사고,교통
日本語,罰金 (ばっきん),벌금/범칙금,교통
日本語,ヘルメット,헬멧,교통
日本語,ナビゲーション,내비게이션,교통
日本語,GPS,GPS,교통
日本語,方向 (ほうこう),방향,교통
日本語,距離 (きょり),거리(간격),교통
日本語,北 (きた),북쪽,교통
日本語,南 (みなみ),남쪽,교통
日本語,東 (ひがし),동쪽,교통
日本語,西 (にし),서쪽,교통
日本語,左 (ひだり),왼쪽,교통
日本語,右 (みぎ),오른쪽,교통
日本語,直進 (ちょくしん),직진/똑바로,교통
日本語,後退 (こうたい),뒤/후진,교통
日本語,Uターン,유턴,교통
日本語,近道 (ちかみち),지름길,교통
日本語,通勤 (つうきん),통근하다,교통
日本語,乗る (のる),타다(탈것),교통
日本語,運転する (うんてんする),운전하다,교통
日本語,駐車する (ちゅうしゃする),주차하다,교통
日本語,曲がる (まがる),돌다/회전하다,교통
日本語,渡る (わたる),건너다,교통
日本語,追い越す (おいこす),추월하다/지나가다,교통
日本語,衝突する (しょうとつする),충돌하다,교통
日本語,速い (はやい),빠른,교통
日本語,遅い (おそい),느린,교통
日本語,安全 (あんぜん),안전한,교통
日本語,危険 (きけん),위험한,교통
日本語,近い (ちかい),가까운,교통
日本語,遠い (とおい),먼,교통
日本語,各駅停車 (かくえきていしゃ),현지의/완행の,교통
日本語,急行 (きゅうこう),급행의,교통
日本語,公共 (こうきょう),공공의,교통
日本語,私的 (してき),개인의/전용의,교통
日本語,助手席 (じょしゅせき),조수석,교통
日本語,後部座席 (こうぶざせき),뒷좌석,교통
日本語,歩行者 (ほこうしゃ),보행자,교통
日本語,サイクリスト,자전거 타는 사람,교통
日本語,運転手 (うんてんしゅ),운전자,교통
