Language,Word,Meaning,Topic
Español,Tiempo,시간,미분류
Español,Persona,사람,미분류
Español,Año,년(해),미분류
Español,Manera,방법/길,미분류
Español,Día,하루/낮,미분류
Español,Cosa,것/물건,미분류
Español,Mundo,세계/세상,미분류
Español,Vida,삶/인생,미분류
Español,Mano,손,미분류
Español,Parte,부분,미분류
Español,Niño,아이,미분류
Español,Ojo,눈,미분류
Español,Mujer,여자,미분류
Español,Lugar,장소,미분류
Español,Semana,주(일주일),미분류
Español,Caso,경우/사건,미분류
Español,Punto,요점/점수,미분류
Español,Empresa,회사/동료,미분류
Español,Número,숫자/번호,미분류
Español,Grupo,그룹/단체,미분류
Español,Problema,문제,미분류
Español,Hecho,사실,미분류
Español,Bueno,좋은,미분류
Español,Nuevo,새로운,미분류
Español,Primero,첫번째의,미분류
Español,Último,마지막의,미분류
Español,Largo,긴,미분류
Español,Gran,위대한/큰,미분류
Español,Poco,작은/적은,미분류
Español,Propio,자신의,미분류
Español,Otro,다른,미분류
Español,Viejo,오래된/늙은,미분류
Español,Derecha,오른쪽/옳은,미분류
Español,Grande,큰,미분류
Español,Alto,높은,미분류
Español,Diferente,다른,미분류
Español,Pequeño,작은,미분류
Español,Enorme,거대한,미분류
Español,Siguiente,다음의,미분류
Español,Temprano,일찍,미분류
Español,Joven,젊은/어린,미분류
Español,Importante,중요한,미분류
Español,Pocos,소수의/거의 없는,미분류
Español,Público,공공의/대중의,미분류
Español,Malo,나쁜,미분류
Español,Mismo,같은,미분류
Español,Capaz,할 수 있는,미분류
Español,A,에게/쪽으로,미분류
Español,De,의,미분류
Español,En,안에,미분류
Español,Para,위해/동안,미분류
Español,Sobre,위에,미분류
Español,Con,함께,미분류
Español,En,에(장소/시간),미분류
Español,Por,의해/옆에,미분류
Español,Desde,로부터,미분류
Español,Arriba,위로,미분류
Español,Acerca de,대하여,미분류
Español,Dentro,안으로,미분류
Español,Encima,너머로/위에,미분류
Español,Después,후에,미분류
Español,Ser/Estar,이다/있다,미분류
Español,Tener,가지다,미분류
Español,Hacer,하다,미분류
Español,Decir,말하다,미분류
Español,Obtener,얻다/되다,미분류
Español,Hacer,만들다,미분류
Español,Ir,가다,미분류
Español,Saber,알다,미분류
Español,Tomar,가져가다/타다,미분류
Español,Ver,보다,미분류
Español,Venir,오다,미분류
Español,Pensar,생각하다,미분류
Español,Mirar,보다/보이다,미분류
Español,Querer,원하다,미분류
Español,Dar,주다,미분류
Español,Usar,사용하다,미분류
Español,Encontrar,찾다/알아내다,미분류
Español,Contar,말하다,미분류
Español,Pedir,묻다/요청하다,미분류
Español,Trabajar,일하다,미분류
Español,Parecer,보이다/인 것 같다,미분류
Español,Sentir,느끼다,미분류
Español,Intentar,시도하다/노력하다,미분류
Español,Dejar,떠나다/남기다,미분류
Español,Llamar,부르다/전화하다,미분류
Español,Quizás,아마도,미분류
Español,Siempre,항상,미분류
Español,Nunca,결코 ~않다,미분류
Español,A menudo,종종/자주,미분류
Español,Hoy,오늘,미분류
Español,Mañana,내일,미분류
Español,Ayer,어제,미분류
Español,Aquí,여기,미분류
Español,Allí,거기,미분류
Español,Por qué,왜,미분류
Español,Cuándo,언제,미분류
Español,Dónde,어디,미분류
Español,Qué,무엇,미분류
Español,Quién,누구,미분류
