Language,Word,Meaning,Topic
Español,Vehículo,차량/탈것,교통
Español,Automóvil,자동차,교통
Español,Coche,차,교통
Español,Bicicleta,자전거,교통
Español,Moto,바이크/자전거,교통
Español,Motocicleta,오토바이,교통
Español,Camión,트럭,교통
Español,Furgoneta,밴/승합차,교통
Español,Scooter,스쿠터,교통
Español,Monopatín,스케이트보드,교통
Español,Ambulancia,구급차,교통
Español,Camión de bomberos,소방차,교통
Español,Coche de policía,경찰차,교통
Español,Helicóptero,헬리콥터,교통
Español,Rueda,바퀴,교통
Español,Neumático,타이어,교통
Español,Motor,엔진,교통
Español,Batería,배터리,교통
Español,Freno,브레이크,교통
Español,Acelerador,엑셀/가속 페달,교통
Español,Volante,핸들/운전대,교통
Español,Marcha,기어,교통
Español,Claxon,경적,교통
Español,Parachoques,범퍼,교통
Español,Faro,전조등/헤드라이트,교통
Español,Limpiaparabrisas,와이퍼,교통
Español,Maletero,트렁크,교통
Español,Capó,보닛/후드,교통
Español,Cinturón de seguridad,안전벨트,교통
Español,Airbag,에어백,교통
Español,Llave,열쇠/차 키,교통
Español,Gasolina,휘발유,교통
Español,Diésel,경유/디젤,교통
Español,Aceite,오일/기름,교통
Español,Combustible,연료,교통
Español,Gasolinera,주유소,교통
Español,Aparcamiento,주차장,교통
Español,Garaje,차고/정비소,교통
Español,Matrícula,번호판,교통
Español,Licencia de conducir,운전면허증,교통
Español,Mecánico,정비공,교통
Español,Taller,카센터/수리점,교통
Español,Carretera,길/도로,교통
Español,Calle,거리,교통
Español,Avenida,가로수길/대로,교통
Español,Autopista,고속도로,교통
Español,Autovía,고속화도로,교통
Español,Carril,차선,교통
Español,Puente,다리/교량,교통
Español,Túnel,터널,교통
Español,Paso elevado,고가도로/육교,교통
Español,Paso subterráneo,지하도,교통
Español,Intersección,교차로,교통
Español,Paso de peatones,횡단보도,교통
Español,Acera,인도/보도,교통
Español,Esquina,모퉁이/코너,교통
Español,Semáforo,신호등,교통
Español,Señal de tráfico,교통 표지판,교통
Español,Señal de stop,정지 표지판,교통
Español,Límite de velocidad,제한 속도,교통
Español,Atasco,교통 체증,교통
Español,Hora punta,러시아워,교통
Español,Accidente,사고,교통
Español,Multa,벌금/범칙금,교통
Español,Casco,헬멧,교통
Español,Navegación,내비게이션,교통
Español,GPS,GPS,교통
Español,Dirección,방향,교통
Español,Distancia,거리(간격),교통
Español,Norte,북쪽,교통
Español,Sur,남쪽,교통
Español,Este,동쪽,교통
Español,Oeste,서쪽,교통
Español,Izquierda,왼쪽,교통
Español,Derecha,오른쪽,교통
Español,Recto,직진/똑바로,교통
Español,Atrás,뒤/후진,교통
Español,Cambio de sentido,유턴,교통
Español,Atajo,지름길,교통
Español,Conmutar,통근하다,교통
Español,Montar,타다(탈것),교통
Español,Conducir,운전하다,교통
Español,Aparcar,주차하다,교통
Español,Girar,돌다/회전하다,교통
Español,Cruzar,건너다,교통
Español,Adelantar,추월하다/지나가다,교통
Español,Chocar,충돌하다,교통
Español,Rápido,빠른,교통
Español,Lento,느린,교통
Español,Seguro,안전한,교통
Español,Peligroso,위험한,교통
Español,Cerca,가까운,교통
Español,Lejos,먼,교통
Español,Local,현지의/완행의,교통
Español,Exprés,급행의,교통
Español,Público,공공의,교통
Español,Privado,개인의/전용의,교통
Español,Asiento del copiloto,조수석,교통
Español,Asiento trasero,뒷좌석,교통
Español,Peatón,보행자,교통
Español,Ciclista,자전거 타는 사람,교통
Español,Conductor,운전자,교통
