Language,Word,Meaning,Topic
Español,Compras,쇼핑,쇼핑
Español,Tienda,가게/상점,쇼핑
Español,Comercio,가게/샵,쇼핑
Español,Centro comercial,쇼핑몰,쇼핑
Español,Mercado,시장,쇼핑
Español,Supermercado,슈퍼마켓,쇼핑
Español,Grandes almacenes,백화점,쇼핑
Español,Cliente,고객/손님,쇼핑
Español,Dependiente,점원,쇼핑
Español,Personal,직원,쇼핑
Español,Gerente,매니저,쇼핑
Español,Cajero,계산원,쇼핑
Español,Mostrador,카운터/계산대,쇼핑
Español,Entrada,입구,쇼핑
Español,Salida,출구,쇼핑
Español,Abierto,열린/영업 중,쇼핑
Español,Cerrado,닫힌/영업 종료,쇼핑
Español,Rebajas,세일/판매,쇼핑
Español,Descuento,할인,쇼핑
Español,Precio,가격,쇼핑
Español,Coste,비용,쇼핑
Español,Caro,비싼,쇼핑
Español,Barato,싼/저렴한,쇼핑
Español,Razonable,합리적인,쇼핑
Español,Gratis,무료,쇼핑
Español,Impuesto,세금,쇼핑
Español,Total,합계,쇼핑
Español,Efectivo,현금,쇼핑
Español,Cambio,거스름돈,쇼핑
Español,Tarjeta de crédito,신용카드,쇼핑
Español,Tarjeta de débito,직불카드,쇼핑
Español,Recibo,영수증,쇼핑
Español,Reembolso,환불,쇼핑
Español,Cambio,교환,쇼핑
Español,Garantía,보증,쇼핑
Español,Bolsa,가방/쇼핑백,쇼핑
Español,Carrito,카트,쇼핑
Español,Cesta,바구니,쇼핑
Español,Artículo,물품/아이템,쇼핑
Español,Producto,제품,쇼핑
Español,Marca,브랜드,쇼핑
Español,Calidad,품질,쇼핑
Español,Nuevo,새로운/신상,쇼핑
Español,Usado,중고의,쇼핑
Español,Talla,사이즈/크기,쇼핑
Español,Color,색상,쇼핑
Español,Estilo,스타일,쇼핑
Español,Diseño,디자인,쇼핑
Español,Material,재질/소재,쇼핑
Español,Probador,피팅룸/탈의실,쇼핑
Español,Probarse,입어보다,쇼핑
Español,Quedar bien,맞다/어울리다,쇼핑
Español,Apretado,꽉 끼는,쇼핑
Español,Suelto,헐렁한,쇼핑
Español,Largo,긴,쇼핑
Español,Corto,짧은,쇼핑
Español,Grande,큰,쇼핑
Español,Pequeño,작은,쇼핑
Español,Ropa,옷/의류,쇼핑
Español,Prenda,의류/옷 한 벌,쇼핑
Español,Camisa,셔츠,쇼핑
Español,Camiseta,티셔츠,쇼핑
Español,Pantalones,바지,쇼핑
Español,Vaqueros,청바지,쇼핑
Español,Pantalones cortos,반바지,쇼핑
Español,Falda,치마,쇼핑
Español,Vestido,원피스/드레스,쇼핑
Español,Traje,정장,쇼핑
Español,Abrigo,코트,쇼핑
Español,Chaqueta,재킷,쇼핑
Español,Suéter,스웨터,쇼핑
Español,Sudadera,후드티,쇼핑
Español,Ropa interior,속옷,쇼핑
Español,Calcetines,양말,쇼핑
Español,Zapatos,신발,쇼핑
Español,Zapatillas,운동화,쇼핑
Español,Botas,부츠,쇼핑
Español,Sandalias,샌들,쇼핑
Español,Tacones,힐/구두,쇼핑
Español,Sombrero,모자,쇼핑
Español,Gorra,모자(캡),쇼핑
Español,Bufanda,스카프/목도리,쇼핑
Español,Guantes,장갑,쇼핑
Español,Cinturón,벨트,쇼핑
Español,Corbata,넥타이,쇼핑
Español,Gafas,안경,쇼핑
Español,Gafas de sol,선글라스,쇼핑
Español,Joya,보석/쥬얼리,쇼핑
Español,Anillo,반지,쇼핑
Español,Collar,목걸이,쇼핑
Español,Pendientes,귀걸이,쇼핑
Español,Pulsera,팔찌,쇼핑
Español,Reloj,시계,쇼핑
Español,Billetera,지갑,쇼핑
Español,Bolso,핸드백/가방,쇼핑
Español,Mochila,배낭,쇼핑
Español,Paraguas,우산,쇼핑
Español,Regalo,선물,쇼핑
Español,Obsequio,선물/증정품,쇼핑
Español,Recuerdo,기념품,쇼핑
