Language,Word,Meaning,Topic
English,Health,건강,건강
English,Body,신체/몸,건강
English,Head,머리,건강
English,Hair,머리카락,건강
English,Face,얼굴,건강
English,Eye,눈,건강
English,Ear,귀,건강
English,Nose,코,건강
English,Mouth,입,건강
English,Tooth,이/치아,건강
English,Tongue,혀,건강
English,Lip,입술,건강
English,Neck,목,건강
English,Shoulder,어깨,건강
English,Arm,팔,건강
English,Elbow,팔꿈치,건강
English,Hand,손,건강
English,Finger,손가락,건강
English,Thumb,엄지손가락,건강
English,Nail,손톱,건강
English,Chest,가슴,건강
English,Back,등/허리,건강
English,Stomach,배/위,건강
English,Waist,허리,건강
English,Hip,엉덩이,건강
English,Leg,다리,건강
English,Knee,무릎,건강
English,Foot,발,건강
English,Toe,발가락,건강
English,Skin,피부,건강
English,Muscle,근육,건강
English,Bone,뼈,건강
English,Blood,피/혈액,건강
English,Heart,심장,건강
English,Brain,뇌,건강
English,Lung,폐,건강
English,Liver,간,건강
English,Kidney,신장/콩팥,건강
English,Skeleton,해골/골격,건강
English,Spine,척추,건강
English,Nerve,신경,건강
English,Joint,관절,건강
English,Throat,목구멍,건강
English,Hospital,병원,건강
English,Doctor,의사,건강
English,Nurse,간호사,건강
English,Patient,환자,건강
English,Appointment,진료 예약,건강
English,Diagnosis,진단,건강
English,Treatment,치료,건강
English,Surgery,수술,건강
English,Emergency,응급 상황,건강
English,Ambulance,구급차,건강
English,Pharmacy,약국,건강
English,Pharmacist,약사,건강
English,Medicine,약,건강
English,Pill,알약,건강
English,Tablet,정제(알약),건강
English,Capsule,캡슐,건강
English,Syrup,시럽,건강
English,Injection,주사,건강
English,Vaccine,백신,건강
English,Prescription,처방전,건강
English,Bandage,붕대/반창고,건강
English,First aid,응급 처치,건강
English,Disease,질병,건강
English,Illness,병/아픔,건강
English,Sick,아픈,건강
English,Pain,고통/통증,건강
English,Fever,열,건강
English,Cough,기침,건강
English,Cold,감기,건강
English,Flu,독감,건강
English,Headache,두통,건강
English,Stomachache,복통,건강
English,Toothache,치통,건강
English,Sore throat,인후통,건강
English,Injury,부상,건강
English,Wound,상처,건강
English,Burn,화상,건강
English,Cut,베인 상처,건강
English,Bruise,멍/타박상,건강
English,Infection,감염,건강
English,Allergy,알레르기,건강
English,Cancer,암,건강
English,Diabetes,당뇨병,건강
English,Blood pressure,혈압,건강
English,Pulse,맥박,건강
English,Temperature,체온,건강
English,Diet,식단/다이어트,건강
English,Exercise,운동,건강
English,Sleep,수면,건강
English,Stress,스트레스,건강
English,Weight,체중,건강
English,Height,신장/키,건강
English,Healthy,건강한,건강
English,Weak,약한,건강
English,Strong,튼튼한/강한,건강
English,Recover,회복하다,건강
English,Cure,치료하다/낫게 하다,건강
