Language,Word,Meaning,Topic
Español,Salud,건강,건강
Español,Cuerpo,신체/몸,건강
Español,Cabeza,머리,건강
Español,Pelo,머리카락,건강
Español,Cara,얼굴,건강
Español,Ojo,눈,건강
Español,Oreja,귀,건강
Español,Nariz,코,건강
Español,Boca,입,건강
Español,Diente,이/치아,건강
Español,Lengua,혀,건강
Español,Labio,입술,건강
Español,Cuello,목,건강
Español,Hombro,어깨,건강
Español,Brazo,팔,건강
Español,Codo,팔꿈치,건강
Español,Mano,손,건강
Español,Dedo,손가락,건강
Español,Pulgar,엄지손가락,건강
Español,Uña,손톱,건강
Español,Pecho,가슴,건강
Español,Espalda,등/허리,건강
Español,Estómago,배/위,건강
Español,Cintura,허리,건강
Español,Cadera,엉덩이,건강
Español,Pierna,다리,건강
Español,Rodilla,무릎,건강
Español,Pie,발,건강
Español,Dedo del pie,발가락,건강
Español,Piel,피부,건강
Español,Músculo,근육,건강
Español,Hueso,뼈,건강
Español,Sangre,피/혈액,건강
Español,Corazón,심장,건강
Español,Cerebro,뇌,건강
Español,Pulmón,폐,건강
Español,Hígado,간,건강
Español,Riñón,신장/콩팥,건강
Español,Esqueleto,해골/골격,건강
Español,Columna vertebral,척추,건강
Español,Nervio,신경,건강
Español,Articulación,관절,건강
Español,Garganta,목구멍,건강
Español,Hospital,병원,건강
Español,Médico,의사,건강
Español,Enfermera,간호사,건강
Español,Paciente,환자,건강
Español,Cita,진료 예약,건강
Español,Diagnóstico,진단,건강
Español,Tratamiento,치료,건강
Español,Cirugía,수술,건강
Español,Emergencia,응급 상황,건강
Español,Ambulancia,구급차,건강
Español,Farmacia,약국,건강
Español,Farmacéutico,약사,건강
Español,Medicina,약,건강
Español,Píldora,알약,건강
Español,Tableta,정제(알약),건강
Español,Cápsula,캡슐,건강
Español,Jarabe,시럽,건강
Español,Inyección,주사,건강
Español,Vacuna,백신,건강
Español,Receta,처방전,건강
Español,Venda,붕대/반창고,건강
Español,Primeros auxilios,응급 처치,건강
Español,Enfermedad,질병,건강
Español,Malestar,병/아픔,건강
Español,Enfermo,아픈,건강
Español,Dolor,고통/통증,건강
Español,Fiebre,열,건강
Español,Tos,기침,건강
Español,Resfriado,감기,건강
Español,Gripe,독감,건강
Español,Dolor de cabeza,두통,건강
Español,Dolor de estómago,복통,건강
Español,Dolor de muelas,치통,건강
Español,Dolor de garganta,인후통,건강
Español,Lesión,부상,건강
Español,Herida,상처,건강
Español,Quemadura,화상,건강
Español,Corte,베인 상처,건강
Español,Moretón,멍/타박상,건강
Español,Infección,감염,건강
Español,Alergia,알레르기,건강
Español,Cáncer,암,건강
Español,Diabetes,당뇨병,건강
Español,Presión arterial,혈압,건강
Español,Pulso,맥박,건강
Español,Temperatura,체온,건강
Español,Dieta,식단/다이어트,건강
Español,Ejercicio,운동,건강
Español,Sueño,수면,건강
Español,Estrés,스트레스,건강
Español,Peso,체중,건강
Español,Altura,신장/키,건강
Español,Saludable,건강한,건강
Español,Débil,약한,건강
Español,Fuerte,튼튼한/강한,건강
Español,Recuperarse,회복하다,건강
Español,Curar,치료하다,건강
