Language,Word,Meaning,Topic
English,Time,시간,미분류
English,Person,사람,미분류
English,Year,년(해),미분류
English,Way,방법/길,미분류
English,Day,하루/낮,미분류
English,Thing,것/물건,미분류
English,World,세계/세상,미분류
English,Life,삶/인생,미분류
English,Hand,손,미분류
English,Part,부분,미분류
English,Child,아이,미분류
English,Eye,눈,미분류
English,Woman,여자,미분류
English,Place,장소,미분류
English,Week,주(일주일),미분류
English,Case,경우/사건,미분류
English,Point,요점/점수,미분류
English,Company,회사/동료,미분류
English,Number,숫자/번호,미분류
English,Group,그룹/단체,미분류
English,Problem,문제,미분류
English,Fact,사실,미분류
English,Good,좋은,미분류
English,New,새로운,미분류
English,First,첫번째의,미분류
English,Last,마지막의,미분류
English,Long,긴,미분류
English,Great,위대한/큰,미분류
English,Little,작은/적은,미분류
English,Own,자신의,미분류
English,Other,다른,미분류
English,Old,오래된/늙은,미분류
English,Right,오른쪽/옳은,미분류
English,Big,큰,미분류
English,High,높은,미분류
English,Different,다른,미분류
English,Small,작은,미분류
English,Large,거대한,미분류
English,Next,다음의,미분류
English,Early,일찍,미분류
English,Young,젊은/어린,미분류
English,Important,중요한,미분류
English,Few,소수의/거의 없는,미분류
English,Public,공공의/대중의,미분류
English,Bad,나쁜,미분류
English,Same,같은,미분류
English,Able,할 수 있는,미분류
English,To,에게/쪽으로,미분류
English,Of,의,미분류
English,In,안에,미분류
English,For,위해/동안,미분류
English,On,위에,미분류
English,With,함께,미분류
English,At,에(장소/시간),미분류
English,By,의해/옆에,미분류
English,From,로부터,미분류
English,Up,위로,미분류
English,About,대하여,미분류
English,Into,안으로,미분류
English,Over,너머로/위에,미분류
English,After,후에,미분류
English,Be,이다/있다,미분류
English,Have,가지다,미분류
English,Do,하다,미분류
English,Say,말하다,미분류
English,Get,얻다/되다,미분류
English,Make,만들다,미분류
English,Go,가다,미분류
English,Know,알다,미분류
English,Take,가져가다/타다,미분류
English,See,보다,미분류
English,Come,오다,미분류
English,Think,생각하다,미분류
English,Look,보다/보이다,미분류
English,Want,원하다,미분류
English,Give,주다,미분류
English,Use,사용하다,미분류
English,Find,찾다/알아내다,미분류
English,Tell,말하다,미분류
English,Ask,묻다/요청하다,미분류
English,Work,일하다,미분류
English,Seem,보이다/인 것 같다,미분류
English,Feel,느끼다,미분류
English,Try,시도하다/노력하다,미분류
English,Leave,떠나다/남기다,미분류
English,Call,부르다/전화하다,미분류
English,Maybe,아마도,미분류
English,Always,항상,미분류
English,Never,결코 ~않다,미분류
English,Often,종종/자주,미분류
English,Today,오늘,미분류
English,Tomorrow,내일,미분류
English,Yesterday,어제,미분류
English,Here,여기,미분류
English,There,거기,미분류
English,Why,왜,미분류
English,When,언제,미분류
English,Where,어디,미분류
English,What,무엇,미분류
English,Who,누구,미분류
