Language,Word,Meaning,Topic
日本語,ビジネス,사업/비즈니스,비즈니스
日本語,会社 (かいしゃ),회사,비즈니스
日本語,企業 (きぎょう),기업/법인,비즈니스
日本語,事務所 (じむしょ),사무실,비즈니스
日本語,部署 (ぶしょ),부서,비즈니스
日本語,チーム,팀,비즈니스
日本語,スタッフ,직원/스태프,비즈니스
日本語,従業員 (じゅうぎょういん),직원(피고용인),비즈니스
日本語,雇用主 (こようぬし),고용주,비즈니스
日本語,部長 (ぶちょう),매니저/부장,비즈니스
日本語,上司 (じょうし),상사,비즈니스
日本語,最高経営責任者 (CEO),최고경영자,비즈니스
日本語,同僚 (どうりょう),동료,비즈니스
日本語,パートナー,파트너,비즈니스
日本語,依頼人 (いらいにん),고객/의뢰인,비즈니스
日本語,顧客 (こきゃく),고객,비즈니스
日本語,競合 (きょうごう),경쟁자,비즈니스
日本語,会議 (かいぎ),회의,비즈니스
日本語,協議会 (きょうぎかい),컨퍼런스/회담,비즈니스
日本語,議題 (ぎだい),안건/의제,비즈니스
日本語,プレゼンテーション,발표/프레젠테이션,비즈니스
日本語,報告書 (ほうこくしょ),보고서,비즈니스
日本語,プロジェクト,프로젝트,비즈니스
日本語,締め切り (しめきり),마감 기한,비즈니스
日本語,予定 (よてい),일정,비즈니스
日本語,計画 (けいかく),계획,비즈니스
日本語,目標 (もくひょう),목표,비즈니스
日本語,戦略 (せんりゃく),전략,비즈니스
日本語,結果 (けっか),결과,비즈니스
日本語,成功 (せいこう),성공,비즈니스
日本語,失敗 (しっぱい),실패,비즈니스
日本語,リスク,위험,비즈니스
日本語,機会 (きかい),기회,비즈니스
日本語,挑戦 (ちょうせん),도전/난제,비즈니스
日本語,契約 (けいやく),계약,비즈니스
日本語,合意 (ごうい),합의/협정,비즈니스
日本語,署名 (しょめい),서명,비즈니스
日本語,書類 (しょるい),문서,비즈니스
日本語,事務処理 (じむしょり),서류 작업,비즈니스
日本語,ファイル,파일,비즈니스
日本語,フォルダー,폴더,비즈니스
日本語,コピー,사본/복사,비즈니스
日本語,原本 (げんぽん),원본,비즈니스
日本語,机 (つくえ),책상,비즈니스
日本語,椅子 (いす),의자,비즈니스
日本語,コンピューター,컴퓨터,비즈니스
日本語,ノートパソコン,노트북,비즈니스
日本語,電子メール (Eメール),이메일,비즈니스
日本語,電話 (でんわ),전화,비즈니스
日本語,通話 (つうわ),통화,비즈니스
日本語,メッセージ,메시지,비즈니스
日本語,市場 (しじょう),시장,비즈니스
日本語,製品 (せいひん),제품,비즈니스
日本語,サービス,서비스,비즈니스
日本語,価格 (かかく),가격,비즈니스
日本語,費用 (ひよう),비용,비즈니스
日本語,利益 (りえき),이익,비즈니스
日本語,収益 (しゅうえき),수익/매출,비즈니스
日本語,損失 (そんしつ),손실,비즈니스
日本語,予算 (よさん),예산,비즈니스
日本語,税金 (ぜいきん),세금,비즈니스
日本語,請求書 (せいきゅうしょ),송장/청구서,비즈니스
日本語,領収書 (りょうしゅうしょ),영수증,비즈니스
日本語,給料 (きゅうりょう),급여/월급,비즈니스
日本語,賃金 (ちんぎん),임금,비즈니스
日本語,ボーナス,보너스,비즈니스
日本語,昇進 (しょうしん),승진,비즈니스
日本語,採用 (さいよう),고용/채용,비즈니스
日本語,面接 (めんせつ),면접,비즈니스
日本語,履歴書 (りれきしょ),이력서,비즈니스
日本語,仕事 (しごと),직업/일,비즈니스
日本語,経歴 (けいれき),경력/커리어,비즈니스
日本語,業務 (ぎょうむ),업무/노동,비즈니스
日本語,課題 (かだい),과제/업무,비즈니스
日本語,義務 (ぎむ),의무/직무,비즈니스
日本語,責任 (せきにん),책임,비즈니스
日本語,技能 (ぎのう),기술/스킬,비즈니스
日本語,経験 (けいけん),경험,비즈니스
日本語,研修 (けんしゅう),훈련/연수,비즈니스
日本語,教育 (きょういく),교육,비즈니스
日本語,知識 (ちしき),지식,비즈니스
日本語,アイデア,아이디어,비즈니스
日本語,解決策 (かいけつさく),해결책,비즈니스
日本語,問題 (もんだい),문제,비즈니스
日本語,決定 (けってい),결정,비즈니스
日本語,交渉 (こうしょう),협상,비즈니스
日本語,取引 (とりひき),거래,비즈니스
日本語,販売 (はんばい),판매,비즈니스
日本語,購入 (こうにゅう),구매,비즈니스
日本語,注文 (ちゅうもん),주문,비즈니스
日本語,配送 (はいそう),배송,비즈니스
日本語,在庫 (ざいこ),재고,비즈니스
日本語,供給 (きょうきゅう),공급,비즈니스
日本語,需要 (じゅよう),수요,비즈니스
日本語,マーケティング,마케팅,비즈니스
日本語,広告 (こうこく),광고,비즈니스
日本語,ブランド,브랜드,비즈니스
日本語,品質 (ひんしつ),품질,비즈니스
日本語,成長 (せいちょう),성장,비즈니스
日本語,開発 (かいはつ),개발,비즈니스
日本語,投資 (とうし),투자,비즈니스
日本語,株式 (かぶしき),주식,비즈니스
日本語,経済 (けいざい),경제,비즈니스
日本語,産業 (さんぎょう),산업,비즈니스
日本語,工場 (こうじょう),공장,비즈니스
日本語,本社 (ほんしゃ),본사,비즈니스
日本語,支社 (ししゃ),지사/지점,비즈니스
日本語,国際的 (こくさいてき),국제적인,비즈니스
日本語,世界的 (せかいてき),세계적인,비즈니스
日本語,地元の (じもとの),지역의/현지의,비즈니스
