Language,Word,Meaning,Topic
日本語,日常生活 (にちじょうせいかつ),일상생활,일상생활
日本語,日課 (にっか),일과/루틴,일상생활
日本語,朝 (あさ),아침,일상생활
日本語,午後 (ごご),오후,일상생활
日本語,夕方 (ゆうがた),저녁,일상생활
日本語,夜 (よる),밤,일상생활
日本語,真夜中 (まよなか),자정,일상생활
日本語,起きる (おきる),일어나다,일상생활
日本語,寝る (ねる),자다,일상생활
日本語,夢 (ゆめ),꿈,일상생활
日本語,洗う (あらう),씻다,일상생활
日本語,お風呂 (おふろ),목욕/욕조,일상생활
日本語,石鹸 (せっけん),비누,일상생활
日本語,シャンプー,샴푸,일상생활
日本語,歯ブラシ (はブラシ),칫솔,일상생활
日本語,歯磨き粉 (はみがきこ),치약,일상생활
日本語,櫛 (くし),빗,일상생활
日本語,剃る (そる),면도하다,일상생활
日本語,化粧 (けしょう),화장,일상생활
日本語,ティッシュ,휴지,일상생활
日本語,家 (いえ),집(건물),일상생활
日本語,家庭 (かてい),가정,일상생활
日本語,アパート,아파트,일상생활
日本語,居間 (いま),거실,일상생활
日本語,寝室 (しんしつ),침실,일상생활
日本語,浴室 (よくしつ),화장실/욕실,일상생활
日本語,ベランダ,베란다,일상생활
日本語,ドア,문,일상생활
日本語,カーテン,커튼,일상생활
日本語,床 (ゆか),바닥,일상생활
日本語,壁 (かべ),벽,일상생활
日本語,天井 (てんじょう),천장,일상생활
日本語,屋根 (やね),지붕,일상생활
日本語,庭 (にわ),정원,일상생활
日本語,車庫 (しゃこ),차고,일상생활
日本語,家具 (かぐ),가구,일상생활
日本語,ソファ,소파,일상생활
日本語,テーブル,탁자/테이블,일상생활
日本語,枕 (まくら),베개,일상생활
日本語,毛布 (もうふ),담요/이불,일상생활
日本語,ランプ,램프,일상생활
日本語,光 (ひかり),빛/조명,일상생활
日本語,スイッチ,스위치,일상생활
日本語,時計 (とけい),시계,일상생활
日本語,カレンダー,달력,일상생활
日本語,鏡 (かがみ),거울,일상생활
日本語,テレビ,텔레ビ전,일상생활
日本語,ラジオ,라디오,일상생활
日本語,掃除 (そうじ),청소,일상생활
日本語,ゴミ,쓰레기,일상생활
日本語,洗濯 (せんたく),빨래/세탁,일상생활
日本語,アイロン,다리미,일상생활
日本語,ほうき,빗자루,일상생활
日本語,服 (ふく),옷,일상생활
日本語,シャツ,셔츠,일상생활
日本語,ズボン,바지,일상생활
日本語,ワンピース,원피스,일상생활
日本語,スカート,치마,일상생활
日本語,ジャケット,재킷,일상생활
日本語,コート,코트,일상생활
日本語,靴 (くつ),신발,일상생활
日本語,靴下 (くつした),양말,일상생활
日本語,帽子 (ぼうし),모자,일상생활
日本語,眼鏡 (めがね),안경,일상생활
日本語,傘 (かさ),우산,일상생활
日本語,鞄 (かばん),가방,일상생활
日本語,財布 (さいふ),지갑,일상생활
日本語,腕時計 (うでどけい),손목시계,일상생활
日本語,天気 (てんき),날씨,일상생활
日本語,太陽 (たいよう),태양/해,일상생활
日本語,月 (つき),달,일상생활
日本語,星 (ほし),별,일상생활
日本語,空 (そら),하늘,일상생활
日本語,雲 (くも),구름,일상생활
日本語,雨 (あめ),비,일상생활
日本語,雪 (ゆき),눈(날씨),일상생활
日本語,風 (かぜ),바람,일상생활
日本語,嵐 (あらし),폭풍,일상생활
日本語,春 (はる),봄,일상생활
日本語,夏 (なつ),여름,일상생활
日本語,秋 (あき),가을,일상생활
日本語,冬 (ふゆ),겨울,일상생활
日本語,家族 (かぞく),가족,일상생활
日本語,両親 (りょうしん),부모님,일상생활
日本語,父 (ちち),아버지,일상생활
日本語,母 (はは),어머니,일상생활
日本語,夫 (おっと),남편,일상생활
日本語,妻 (つま),아내,일상생활
日本語,赤ちゃん (あかちゃん),아기,일상생활
日本語,息子 (むすこ),아들,일상생활
日本語,娘 (むすめ),딸,일상생활
日本語,兄弟 (きょうだい),남자 형제,일상생활
日本語,姉妹 (しまイ),여자 형제,일상생활
日本語,祖父 (そふ),할아버지,일상생활
日本語,祖母 (そぼ),할머니,일상생활
日本語,友達 (ともだち),친구,일상생활
日本語,隣人 (りんじん),이웃,일상생활
日本語,ペット,애완동물,일상생활
日本語,犬 (いぬ),개/강아지,일상생활
日本語,猫 (ねこ),고양이,일상생활
