Language,Word,Meaning,Topic
日本語,感情 (かんじょう),감정,감정
日本語,気分 (きぶん),느낌/기분,감정
日本語,雰囲気 (ふんいき),기분/분위기,감정
日本語,性格 (せいかく),성격,감정
日本語,人柄 (ひとがら),성품/인격,감정
日本語,幸せ (しあわせ),행복한,감정
日本語,悲しい (かなしい),슬픈,감정
日本語,怒る (おこる),화난,감정
日本語,興奮 (こうふん),신이 난/흥분한,감정
日本語,退屈 (たいくつ),지루한,감정
日本語,疲れた (つかれた),피곤한,감정
日本語,眠い (ねむい),졸린,감정
日本語,怖い (こわい),무서운/겁먹은,감정
日本語,緊張 (きんちょう),긴장한/불안한,감정
日本語,驚く (おどろく),놀란,감정
日本語,恥ずかしい (はずかしい),부끄러워하는,감정
日本語,誇らしい (ほこらしい),자랑스러운,감정
日本語,混乱 (こんらん),혼란스러운,감정
日本語,失望 (しつぼう),실망한,감정
日本語,寂しい (さびしい),외로운,감정
日本語,嫉妬 (しっと),질투하는,감정
日本語,羨ましい (うらやましい),부러워하는,감정
日本語,冷静 (れいせい),차분한/침착한,감정
日本語,気楽 (きらく),편안한/여유로운,감정
日本語,ストレス,스트레스 받은,감정
日本語,心配 (しんぱい),걱정하는,감정
日本語,不安 (ふあん),불안해하는,감정
日本語,動揺 (どうよう),속상한/동요한,감정
日本語,イライラ,짜증 난,감정
日本語,挫折 (ざせつ),좌절한/답답한,감정
日本語,ショック,충격받은,감정
日本語,感心 (かんしん),감탄한,감정
日本語,好奇心 (こうきしん),호기심 많은,감정
日本語,興味 (きょうみ),관심 있는,감정
日本語,無関心 (むかんしん),무관심한,감정
日本語,勇敢 (ゆうかん),용감한,감정
日本語,臆病 (おくびょう),겁이 많은,감정
日本語,自信 (じしん),자신감 있는,감정
日本語,疑い (うたがい),의심하는,감정
日本語,希望 (きぼう),희망찬,감정
日本語,絶望 (ぜつぼう),절망적인,감정
日本語,有罪 (ゆうざい),죄책감을 느끼는,감정
日本語,無実 (むじつ),결백한/순수한,감정
日本語,恥 (はじ),부끄러운(창피한),감정
日本語,困惑 (こんわく),당황한,감정
日本語,友好的 (ゆうこうてき),친절한/우호적인,감정
日本語,冷淡 (れいたん),불친절한,감정
日本語,親切 (しんせつ),친절한/착한,감정
日本語,意地悪 (いじわる),심술궂은/못된,감정
日本語,無礼 (ぶれい),무례한,감정
日本語,丁寧 (ていねい),예의 바른,감정
日本語,正直 (しょうじき),정직한,감정
日本語,不誠実 (ふせいじつ),부정직한,감정
日本語,賢い (かしこい),똑똑한,감정
日本語,愚か (おろか),어리석은,감정
日本語,面白い (おもしろい),재미있는/웃긴,감정
日本語,真剣 (しんけん),심각한/진지한,감정
日本語,静か (しずか),조용한,감정
日本語,うるさい,시끄러운,감정
日本語,活動的 (かつどうてき),활동적인,감정
日本語,怠惰 (たいだ),게으른,감정
日本語,陽気 (ようき),쾌활한,감정
日本語,憂鬱 (ゆううつ),우울한,감정
日本語,楽観的 (らっかんてき),낙천적인,감정
日本語,悲観的 (ひかんてき),비관적인,감정
日本語,感謝 (かんしゃ),감사하는,감정
日本語,強欲 (ごうよく),탐욕스러운,감정
日本語,寛大 (かんだい),관대한/후한,감정
日本語,わがまま,이기적인,감정
日本語,謙虚 (けんきょ),겸손한,감정
日本語,傲慢 (ごうまん),거만한,감정
日本語,忍耐 (にんたい),인내심 있는,감정
日本語,短気 (たんき),성급한,감정
日本語,満足 (まんぞく),만족한,감정
日本語,不満 (ふまん),불만족한,감정
日本語,快適 (かいてき),편안한,감정
日本語,不快 (ふかい),불편한,감정
日本語,創造的 (そうぞうてき),창의적인,감정
日本語,鈍い (にぶい),지루한/둔한,감정
日本語,感情的 (かんじょうてき),감정적인,감정
日本語,理性的 (りせいてき),이성적인,감정
日本語,敏感 (びんかん),예민한/민감한,감정
日本語,鈍感 (どんかん),둔감한,감정
日本語,同情 (どうじょう),동정하는,감정
日本語,冷たい (つめたい),차가운(성격),감정
日本語,温かい (あたたかい),따뜻한(성격),감정
日本語,愛 (あい),사랑,감정
日本語,憎しみ (にくしみ),증오/혐오,감정
日本語,好き (すき),좋아함,감정
日本語,嫌い (きらい),싫어함,감정
日本語,恐怖 (きょうふ),두려움/공포,감정
日本語,怒り (いかり),분노,감정
日本語,喜び (よろこび),기쁨,감정
日本語,悲しみ (かなしみ),슬픔,감정
日本語,楽しみ (たのしみ),즐거움,감정
日本語,痛み (いたみ),고통,감정
日本語,驚き (おどろき),놀라움,감정
日本語,信頼 (しんらい),신뢰/믿음,감정
日本語,不信 (ふしん),불신,감정
日本語,尊敬 (そんけい),존경,감정
日本語,失礼 (しつれい),무례/결례,감정
日本語,哀れみ (あわれみ),연민/동정,감정
日本語,恥 (はじ),수치심,감정
日本語,罪悪感 (ざいあくかん),죄책감,감정
日本語,態度 (たいど),태도,감정
日本語,微笑み (ほほえみ),미소,감정
日本語,泣く (なく),울음,감정
日本語,笑い (わらい),웃음,감정
日本語,涙 (なみだ),눈물,감정
