Language,Word,Meaning,Topic
English,Shopping,쇼핑,쇼핑
English,Store,가게/상점,쇼핑
English,Shop,가게/쇼핑하다,쇼핑
English,Mall,쇼핑몰,쇼핑
English,Market,시장,쇼핑
English,Supermarket,슈퍼마켓,쇼핑
English,Department store,백화점,쇼핑
English,Customer,고객/손님,쇼핑
English,Clerk,점원,쇼핑
English,Staff,직원,쇼핑
English,Manager,매니저,쇼핑
English,Cashier,계산원,쇼핑
English,Counter,카운터/계산대,쇼핑
English,Entrance,입구,쇼핑
English,Exit,출구,쇼핑
English,Open,열린/영업 중,쇼핑
English,Closed,닫힌/영업 종료,쇼핑
English,Sale,세일/판매,쇼핑
English,Discount,할인,쇼핑
English,Price,가격,쇼핑
English,Cost,비용,쇼핑
English,Expensive,비싼,쇼핑
English,Cheap,싼/저렴한,쇼핑
English,Reasonable,합리적인,쇼핑
English,Free,무료,쇼핑
English,Tax,세금,쇼핑
English,Total,합계,쇼핑
English,Cash,현금,쇼핑
English,Change,거스름돈,쇼핑
English,Credit card,신용카드,쇼핑
English,Debit card,직불카드,쇼핑
English,Receipt,영수증,쇼핑
English,Refund,환불,쇼핑
English,Exchange,교환,쇼핑
English,Warranty,보증,쇼핑
English,Bag,가방/쇼핑백,쇼핑
English,Cart,카트,쇼핑
English,Basket,바구니,쇼핑
English,Item,물품/아이템,쇼핑
English,Product,제품,쇼핑
English,Brand,브랜드,쇼핑
English,Quality,품질,쇼핑
English,New,새로운/신상,쇼핑
English,Used,중고의,쇼핑
English,Size,사이즈/크기,쇼핑
English,Color,색상,쇼핑
English,Style,스타일,쇼핑
English,Design,디자인,쇼핑
English,Material,재질/소재,쇼핑
English,Fitting room,피팅룸/탈의실,쇼핑
English,Try on,입어보다,쇼핑
English,Fit,맞다/어울리다,쇼핑
English,Tight,꽉 끼는,쇼핑
English,Loose,헐렁한,쇼핑
English,Long,긴,쇼핑
English,Short,짧은,쇼핑
English,Big,큰,쇼핑
English,Small,작은,쇼핑
English,Clothes,옷/의류,쇼핑
English,Clothing,의류,쇼핑
English,Shirt,셔츠,쇼핑
English,T-shirt,티셔츠,쇼핑
English,Pants,바지,쇼핑
English,Jeans,청바지,쇼핑
English,Shorts,반바지,쇼핑
English,Skirt,치마,쇼핑
English,Dress,원피스/드레스,쇼핑
English,Suit,정장,쇼핑
English,Coat,코트,쇼핑
English,Jacket,재킷,쇼핑
English,Sweater,스웨터,쇼핑
English,Hoodie,후드티,쇼핑
English,Underwear,속옷,쇼핑
English,Socks,양말,쇼핑
English,Shoes,신발,쇼핑
English,Sneakers,운동화,쇼핑
English,Boots,부츠,쇼핑
English,Sandals,샌들,쇼핑
English,Heels,힐/구두,쇼핑
English,Hat,모자,쇼핑
English,Cap,모자(캡),쇼핑
English,Scarf,스카프/목도리,쇼핑
English,Gloves,장갑,쇼핑
English,Belt,벨트,쇼핑
English,Tie,넥타이,쇼핑
English,Glasses,안경,쇼핑
English,Sunglasses,선글라스,쇼핑
English,Jewelry,보석/쥬얼리,쇼핑
English,Ring,반지,쇼핑
English,Necklace,목걸이,쇼핑
English,Earrings,귀걸이,쇼핑
English,Bracelet,팔찌,쇼핑
English,Watch,시계,쇼핑
English,Wallet,지갑,쇼핑
English,Purse,핸드백/지갑,쇼핑
English,Backpack,배낭,쇼핑
English,Umbrella,우산,쇼핑
English,Gift,선물,쇼핑
English,Present,선물,쇼핑
English,Souvenir,기념품,쇼핑
