Language,Word,Meaning,Topic
English,Business,사업/비즈니스,비즈니스
English,Company,회사,비즈니스
English,Corporation,기업/법인,비즈니스
English,Office,사무실,비즈니스
English,Department,부서,비즈니스
English,Team,팀,비즈니스
English,Staff,직원/스태프,비즈니스
English,Employee,직원(피고용인),비즈니스
English,Employer,고용주,비즈니스
English,Manager,매니저/관리자,비즈니스
English,Boss,상사,비즈니스
English,CEO,최고경영자,비즈니스
English,Colleague,동료,비즈니스
English,Partner,파트너,비즈니스
English,Client,고객/의뢰인,비즈니스
English,Customer,고객,비즈니스
English,Competitor,경쟁자,비즈니스
English,Meeting,회의,비즈니스
English,Conference,컨퍼런스/회담,비즈니스
English,Agenda,안건/의제,비즈니스
English,Presentation,발표/프레젠테이션,비즈니스
English,Report,보고서,비즈니스
English,Project,프로젝트,비즈니스
English,Deadline,마감 기한,비즈니스
English,Schedule,일정,비즈니스
English,Plan,계획,비즈니스
English,Goal,목표,비즈니스
English,Strategy,전략,비즈니스
English,Result,결과,비즈니스
English,Success,성공,비즈니스
English,Failure,실패,비즈니스
English,Risk,위험,비즈니스
English,Opportunity,기회,비즈니스
English,Challenge,도전/난제,비즈니스
English,Contract,계약,비즈니스
English,Agreement,합의/협정,비즈니스
English,Signature,서명,비즈니스
English,Document,문서,비즈니스
English,Paperwork,서류 작업,비즈니스
English,File,파일,비즈니스
English,Folder,폴더,비즈니스
English,Copy,사본/복사,비즈니스
English,Original,원본,비즈니스
English,Desk,책상,비즈니스
English,Chair,의자,비즈니스
English,Computer,컴퓨터,비즈니스
English,Laptop,노트북,비즈니스
English,Email,이메일,비즈니스
English,Phone,전화,비즈니스
English,Call,통화,비즈니스
English,Message,메시지,비즈니스
English,Market,시장,비즈니스
English,Product,제품,비즈니스
English,Service,서비스,비즈니스
English,Price,가격,비즈니스
English,Cost,비용,비즈니스
English,Profit,이익,비즈니스
English,Revenue,수익/매출,비즈니스
English,Loss,손실,비즈니스
English,Budget,예산,비즈니스
English,Tax,세금,비즈니스
English,Invoice,송장/청구서,비즈니스
English,Receipt,영수증,비즈니스
English,Salary,급여/월급,비즈니스
English,Wage,임금,비즈니스
English,Bonus,보너스,비즈니스
English,Promotion,승진,비즈니스
English,Hiring,고용/채용,비즈니스
English,Interview,면접,비즈니스
English,Resume,이력서,비즈니스
English,Job,직업/일,비즈니스
English,Career,경력/커리어,비즈니스
English,Work,업무/노동,비즈니스
English,Task,과제/업무,비즈니스
English,Duty,의무/직무,비즈니스
English,Responsibility,책임,비즈니스
English,Skill,기술/스킬,비즈니스
English,Experience,경험,비즈니스
English,Training,훈련/연수,비즈니스
English,Education,교육,비즈니스
English,Knowledge,지식,비즈니스
English,Idea,아이디어,비즈니스
English,Solution,해결책,비즈니스
English,Problem,문제,비즈니스
English,Decision,결정,비즈니스
English,Negotiation,협상,비즈니스
English,Deal,거래,비즈니스
English,Sale,판매,비즈니스
English,Purchase,구매,비즈니스
English,Order,주문,비즈니스
English,Delivery,배송,비즈니스
English,Inventory,재고,비즈니스
English,Supply,공급,비즈니스
English,Demand,수요,비즈니스
English,Marketing,마케팅,비즈니스
English,Advertising,광고,비즈니스
English,Brand,브랜드,비즈니스
English,Quality,품질,비즈니스
English,Growth,성장,비즈니스
English,Development,개발,비즈니스
English,Investment,투자,비즈니스
English,Stock,주식,비즈니스
English,Economy,경제,비즈니스
English,Industry,산업,비즈니스
English,Factory,공장,비즈니스
English,Headquarters,본사,비즈니스
English,Branch,지사/지점,비즈니스
English,International,국제적인,비즈니스
English,Global,세계적인,비즈니스
English,Local,지역의/현지의,비즈니스
