Language,Word,Meaning,Topic
Español,Vida cotidiana,일상생활,일상생활
Español,Rutina,일과/루틴,일상생활
Español,Mañana,아침,일상생활
Español,Tarde,오후,일상생활
Español,Noche,저녁/밤,일상생활
Español,Noche cerrada,밤(늦은),일상생활
Español,Medianoche,자정,일상생활
Español,Despertarse,일어나다,일상생활
Español,Dormir,자다,일상생활
Español,Soñar,꿈꾸다,일상생활
Español,Lavarse,씻다,일상생활
Español,Baño,목욕,일상생활
Español,Jabón,비누,일상생활
Español,Champú,샴푸,일상생활
Español,Cepillo de dientes,칫솔,일상생활
Español,Pasta de dientes,치약,일상생활
Español,Peine,빗,일상생활
Español,Afeitarse,면도하다,일상생활
Español,Maquillaje,화장,일상생활
Español,Pañuelo,휴지/티슈,일상생활
Español,Casa,집(건물),일상생활
Español,Hogar,가정/집,일상생활
Español,Apartamento,아파트,일상생활
Español,Sala de estar,거실,일상생활
Español,Dormitorio,침실,일상생활
Español,Cuarto de baño,화장실/욕실,일상생활
Español,Balcón,베란다/발코니,일상생활
Español,Puerta,문,일상생활
Español,Cortina,커튼,일상생활
Español,Suelo,바닥,일상생활
Español,Pared,벽,일상생활
Español,Techo,천장,일상생활
Español,Tejado,지붕,일상생활
Español,Jardín,정원,일상생활
Español,Garaje,차고,일상생활
Español,Muebles,가구,일상생활
Español,Sofá,소파,일상생활
Español,Mesa,탁자/테이블,일상생활
Español,Almohada,베개,일상생활
Español,Manta,담요/이불,일상생활
Español,Lámpara,램프,일상생활
Español,Luz,빛/조명,일상생활
Español,Interruptor,스위치,일상생활
Español,Reloj,시계,일상생활
Español,Calendario,달력,일상생활
Español,Espejo,거울,일상생활
Español,Televisión,텔레비전,일상생활
Español,Radio,라디오,일상생활
Español,Limpieza,청소,일상생활
Español,Basura,쓰레기,일상생활
Español,Lavandería,빨래/세탁,일상생활
Español,Plancha,다리미,일상생활
Español,Escoba,빗자루,일상생활
Español,Ropa,옷,일상생활
Español,Camisa,셔츠,일상생활
Español,Pantalones,바지,일상생활
Español,Vestido,원피스/드레스,일상생활
Español,Falda,치마,일상생활
Español,Chaqueta,재킷,일상생활
Español,Abrigo,코트,일상생활
Español,Zapatos,신발,일상생활
Español,Calcetines,양말,일상생활
Español,Sombrero,모자,일상생활
Español,Gafas,안경,일상생활
Español,Paraguas,우산,일상생활
Español,Bolso,가방,일상생활
Español,Cartera,지갑,일상생활
Español,Reloj de pulsera,손목시계,일상생활
Español,Tiempo,날씨,일상생활
Español,Sol,태양/해,일상생활
Español,Luna,달,일상생활
Español,Estrella,별,일상생활
Español,Cielo,하늘,일상생활
Español,Nube,구름,일상생활
Español,Lluvia,비,일상생활
Español,Nieve,눈(날씨),일상생활
Español,Viento,바람,일상생활
Español,Tormenta,폭풍,일상생활
Español,Primavera,봄,일상생활
Español,Verano,여름,일상생활
Español,Otoño,가을,일상생활
Español,Invierno,겨울,일상생활
Español,Familia,가족,일상생활
Español,Padres,부모님,일상생활
Español,Padre,아버지,일상생활
Español,Madre,어머니,일상생활
Español,Marido,남편,일상생활
Español,Esposa,아내,일상생활
Español,Bebé,아기,일상생활
Español,Hijo,아들,일상생활
Español,Hija,딸,일상생활
Español,Hermano,남자 형제,일상생활
Español,Hermana,여자 형제,일상생활
Español,Abuelo,할아버지,일상생활
Español,Abuela,할머니,일상생활
Español,Amigo,친구,일상생활
Español,Vecino,이웃,일상생활
Español,Mascota,애완동물,일상생활
Español,Perro,개/강아지,일상생활
Español,Gato,고양이,일상생활
