Language,Word,Meaning,Topic
Español,Comida,음식,음식
Español,Alimento,식사/식량,음식
Español,Desayuno,아침 식사,음식
Español,Almuerzo,점심 식사,음식
Español,Cena,저녁 식사,음식
Español,Merienda,간식,음식
Español,Postre,디저트,음식
Español,Aperitivo,에피타이저,음식
Español,Restaurante,식당,음식
Español,Menú,메뉴,음식
Español,Chef,요리사,음식
Español,Camarero,웨이터,음식
Español,Orden,주문,음식
Español,Cuenta,계산서,음식
Español,Propina,팁,음식
Español,Agua,물,음식
Español,Café,커피,음식
Español,Té,차(Tea),음식
Español,Leche,우유,음식
Español,Jugo,주스,음식
Español,Refresco,탄산음료,음식
Español,Cerveza,맥주,음식
Español,Vino,와인,음식
Español,Alcohol,술,음식
Español,Pan,빵,음식
Español,Arroz,쌀/밥,음식
Español,Fideos,국수,음식
Español,Pasta,파스타,음식
Español,Pizza,피자,음식
Español,Hamburguesa,햄버거,음식
Español,Sándwich,샌드위치,음식
Español,Sopa,수프,음식
Español,Ensalada,샐러드,음식
Español,Carne,고기,음식
Español,Ternera,소고기,음식
Español,Cerdo,돼지고기,음식
Español,Pollo,닭고기,음식
Español,Bistec,스테이크,음식
Español,Jamón,햄,음식
Español,Salchicha,소시지,음식
Español,Tocino,베이컨,음식
Español,Pescado,생선,음식
Español,Marisco,해산물,음식
Español,Camarón,새우,음식
Español,Cangrejo,게,음식
Español,Huevo,달걀,음식
Español,Queso,치즈,음식
Español,Mantequilla,버터,음식
Español,Yogur,요거트,음식
Español,Helado,아이스크림,음식
Español,Fruta,과일,음식
Español,Manzana,사과,음식
Español,Banana,바나나,음식
Español,Naranja,오렌지,음식
Español,Uva,포도,음식
Español,Fresa,딸기,음식
Español,Limón,레몬,음식
Español,Melocotón,복숭아,음식
Español,Sandía,수박,음식
Español,Verdura,채소/야채,음식
Español,Tomate,토마토,음식
Español,Patata,감자,음식
Español,Cebolla,양파,음식
Español,Zanahoria,당근,음식
Español,Ajo,마늘,음식
Español,Pepino,오이,음식
Español,Maíz,옥수수,음식
Español,Hongo,버섯,음식
Español,Brócoli,브로콜리,음식
Español,Lechuga,상추,음식
Español,Pimienta,후추/고추,음식
Español,Sal,소금,음식
Español,Azúcar,설탕,음식
Español,Salsa,소스,음식
Español,Aceite,기름/오일,음식
Español,Sabor,맛,음식
Español,Delicioso,맛있는,음식
Español,Dulce,단,음식
Español,Agrio,신,음식
Español,Salado,짠,음식
Español,Amargo,쓴,음식
Español,Picante,매운,음식
Español,Caliente,뜨거운,음식
Español,Frío,차가운,음식
Español,Fresco,신선한,음식
Español,Saludable,건강한,음식
Español,Hambriento,배고픈,음식
Español,Sediento,목마른,음식
Español,Lleno,배부른,음식
Español,Cocina,부엌,음식
Español,Refrigerador,냉장고,음식
Español,Plato,접시,음식
Español,Tazón,그릇,음식
Español,Taza,컵,음식
Español,Vaso,유리잔,음식
Español,Tenedor,포크,음식
Español,Cuchara,숟가락,음식
Español,Cuchillo,나이프/칼,음식
Español,Palillos,젓가락,음식
Español,Servilleta,냅킨,음식
