Language,Word,Meaning,Topic
Español,Tecnología,기술,기술
Español,Ordenador,컴퓨터,기술
Español,Portátil,노트북,기술
Español,Teléfono inteligente,스마트폰,기술
Español,Tableta,태블릿,기술
Español,Pantalla,화면/스크린,기술
Español,Teclado,키보드,기술
Español,Ratón,마우스,기술
Español,Monitor,모니터,기술
Español,Hardware,하드웨어,기술
Español,Software,소프트웨어,기술
Español,Programa,프로그램,기술
Español,Aplicación,애플리케이션,기술
Español,Plataforma,플랫폼,기술
Español,Sistema,시스템,기술
Español,Red,네트워크,기술
Español,Internet,인터넷,기술
Español,Sitio web,웹사이트,기술
Español,Navegador,브라우저,기술
Español,Enlace,링크,기술
Español,Servidor,서버,기술
Español,Nube,클라우드,기술
Español,Datos,데이터,기술
Español,Base de datos,데이터베이스,기술
Español,Archivo,파일,기술
Español,Carpeta,폴더,기술
Español,Documento,문서,기술
Español,Código,코드,기술
Español,Codificación,코딩,기술
Español,Programación,프로그래밍,기술
Español,Desarrollador,개발자,기술
Español,Usuario,사용자,기술
Español,Contraseña,비밀번호,기술
Español,Seguridad,보안,기술
Español,Virus,바이러스,기술
Español,Hacker,해커,기술
Español,Cortafuegos,방화벽,기술
Español,Actualización,업데이트,기술
Español,Versión,버전,기술
Español,Error,오류/에러,기술
Español,Bug,버그,기술
Español,Solución,해결책/솔루션,기술
Español,Memoria,메모리,기술
Español,Almacenamiento,저장소/스토리지,기술
Español,Batería,배터리,기술
Español,Cargador,충전기,기술
Español,Cable,케이블,기술
Español,Puerto,포트,기술
Español,Conexión,연결,기술
Español,Wi-Fi,와이파이,기술
Español,Bluetooth,블루투스,기술
Español,Señal,신호,기술
Español,Velocidad,속도,기술
Español,Descargar,다운로드,기술
Español,Subir,업로드,기술
Español,Instalar,설치하다,기술
Español,Eliminar,삭제하다,기술
Español,Guardar,저장하다,기술
Español,Buscar,검색하다,기술
Español,Hacer clic,클릭하다,기술
Español,Presionar,누르다,기술
Español,Escribir,입력하다/타이핑하다,기술
Español,Copiar,복사하다,기술
Español,Pegar,붙여넣다,기술
Español,Cortar,자르다,기술
Español,Imprimir,인쇄하다,기술
Español,Escanear,스캔하다,기술
Español,Correo electrónico,이메일,기술
Español,Chat,채팅,기술
Español,Redes sociales,소셜 미디어(SNS),기술
Español,Mensaje,메시지,기술
Español,Video,비디오/영상,기술
Español,Audio,오디오/음성,기술
Español,Imagen,이미지,기술
Español,Cámara,카메라,기술
Español,Micrófono,마이크,기술
Español,Altavoz,스피커,기술
Español,Auriculares,헤드폰,기술
Español,Robot,로봇,기술
Español,Inteligencia artificial (IA),인공지능,기술
Español,Máquina,기계,기술
Español,Dispositivo,장치/기기,기술
Español,Herramienta,도구,기술
Español,Digital,디지털,기술
Español,Virtual,가상,기술
Español,En línea,온라인,기술
Español,Fuera de línea,오프라인,기술
Español,Inalámbrico,무선,기술
Español,Inteligente,스마트/똑똑한,기술
Español,Automático,자동,기술
Español,Innovación,혁신,기술
Español,Ciencia,과학,기술
Español,Ingeniería,공학,기술
Español,Electrónica,전자 공학/기기,기술
Español,Móvil,모바일,기술
Español,Escritorio,데스크탑,기술
Español,Iniciar sesión,로그인,기술
Español,Cerrar sesión,로그아웃,기술
Español,Cuenta,계정,기술
Español,Perfil,프로필,기술
