Language,Word,Meaning,Topic
日本語,買い物 (かいもの),쇼핑,쇼핑
日本語,店 (みせ),가게/상점,쇼핑
日本語,ショップ,가게/샵,쇼핑
日本語,ショッピングモール,쇼핑몰,쇼핑
日本語,市場 (いちば),시장,쇼핑
日本語,スーパー,슈퍼마켓,쇼핑
日本語,デパート,백화점,쇼핑
日本語,客 (きゃく),고객/손님,쇼핑
日本語,店員 (てんいん),점원,쇼핑
日本語,スタッフ,직원,쇼핑
日本語,店長 (てんちょう),매니저/점장,쇼핑
日本語,レジ係 (レジがかり),계산원,쇼핑
日本語,レジ,카운터/계산대,쇼핑
日本語,入り口 (いりぐち),입구,쇼핑
日本語,出口 (でぐち),출구,쇼핑
日本語,営業中 (えいぎょうちゅう),열린/영업 중,쇼핑
日本語,閉店 (へいてん),닫힌/영업 종료,쇼핑
日本語,セール,세일/판매,쇼핑
日本語,割引 (わりびき),할인,쇼핑
日本語,価格 (かかく),가격,쇼핑
日本語,費用 (ひよう),비용,쇼핑
日本語,高い (たかい),비싼,쇼핑
日本語,安い (やすい),싼/저렴한,쇼핑
日本語,手頃 (てごろ),합리적인,쇼핑
日本語,無料 (むりょう),무료,쇼핑
日本語,税金 (ぜいきん),세금,쇼핑
日本語,合計 (ごうけい),합계,쇼핑
日本語,現金 (げんきん),현금,쇼핑
日本語,お釣り (おつり),거스름돈,쇼핑
日本語,クレジットカード,신용카드,쇼핑
日本語,デビットカード,직불카드,쇼핑
日本語,レシート,영수증,쇼핑
日本語,返金 (へんきん),환불,쇼핑
日本語,交換 (こうかん),교환,쇼핑
日本語,保証 (ほしょう),보증,쇼핑
日本語,袋 (ふくろ),가방/쇼핑백,쇼핑
日本語,カート,카트,쇼핑
日本語,カゴ,바구니,쇼핑
日本語,品物 (しなもの),물품/아이템,쇼핑
日本語,製品 (せいひん),제품,쇼핑
日本語,ブランド,브랜드,쇼핑
日本語,品質 (ひんしつ),품질,쇼핑
日本語,新品 (しんぴん),새로운/신상,쇼핑
日本語,中古 (ちゅうこ),중고의,쇼핑
日本語,サイズ,사이즈/크기,쇼핑
日本語,色 (いろ),색상,쇼핑
日本語,スタイル,스타일,쇼핑
日本語,デザイン,디자인,쇼핑
日本語,素材 (そざい),재질/소재,쇼핑
日本語,試着室 (しちゃくしつ),피팅룸/탈의실,쇼핑
日本語,試着する (しちゃくする),입어보다,쇼핑
日本語,似合う (にあう),맞다/어울리다,쇼핑
日本語,きつい,꽉 끼는,쇼핑
日本語,緩い (ゆるい),헐렁한,쇼핑
日本語,長い (ながい),긴,쇼핑
日本語,短い (みじかい),짧은,쇼핑
日本語,大きい (おおきい),큰,쇼핑
日本語,小さい (ちいさい),작은,쇼핑
日本語,服 (ふく),옷/의류,쇼핑
日本語,衣類 (いるい),의류,쇼핑
日本語,シャツ,셔츠,쇼핑
日本語,Tシャツ,티셔츠,쇼핑
日本語,ズボン,바지,쇼핑
日本語,ジーンズ,청바지,쇼핑
日本語,短パン (たんパン),반바지,쇼핑
日本語,スカート,치마,쇼핑
日本語,ワンピース,원피스/드레스,쇼핑
日本語,スーツ,정장,쇼핑
日本語,コート,코트,쇼핑
日本語,ジャケット,재킷,쇼핑
日本語,セーター,스웨터,쇼핑
日本語,パーカー,후드티,쇼핑
日本語,下着 (したぎ),속옷,쇼핑
日本語,靴下 (くつした),양말,쇼핑
日本語,靴 (くつ),신발,쇼핑
日本語,スニーカー,운동화,쇼핑
日本語,ブーツ,부츠,쇼핑
日本語,サンダル,샌들,쇼핑
日本語,ヒール,힐/구두,쇼핑
日本語,帽子 (ぼうし),모자,쇼핑
日本語,キャップ,모자(캡),쇼핑
日本語,マフラー,스카프/목도리,쇼핑
日本語,手袋 (てぶくろ),장갑,쇼핑
日本語,ベルト,벨트,쇼핑
日本語,ネクタイ,넥타이,쇼핑
日本語,眼鏡 (めがね),안경,쇼핑
日本語,サングラス,선글라스,쇼핑
日本語,宝石 (ほうせき),보석/쥬얼리,쇼핑
日本語,指輪 (ゆびわ),반지,쇼핑
日本語,ネックレス,목걸이,쇼핑
日本語,イヤリング,귀걸이,쇼핑
日本語,ブレスレット,팔찌,쇼핑
日本語,時計 (とけい),시계,쇼핑
日本語,財布 (さいふ),지갑,쇼핑
日本語,ハンドバッグ,핸드백,쇼핑
日本語,リュック,배낭,쇼핑
日本語,傘 (かさ),우산,쇼핑
日本語,贈り物 (おくりもの),선물,쇼핑
日本語,プレゼント,선물,쇼핑
日本語,お土産 (おみやげ),기념품,쇼핑
