Language,Word,Meaning,Topic
日本語,旅行 (りょこう),여행,여행
日本語,旅 (たび),짧은 여행,여행
日本語,旅路 (たびじ),여정,여행
日本語,観光 (かんこう),관광/투어,여행
日本語,パスポート,여권,여행
日本語,ビザ,비자,여행
日本語,チケット,티켓/표,여행
日本語,予約 (よやく),예약,여행
日本語,ブッキング,예약(부킹),여행
日本語,空港 (くうこう),공항,여행
日本語,飛行機 (ひこうき),비행기,여행
日本語,フライト,항공편,여행
日本語,航空会社 (こうくうがいしゃ),항공사,여행
日本語,搭乗口 (とうじょうぐち),탑승구/게이트,여행
日本語,搭乗券 (とうじょうけん),탑승권,여행
日本語,座席 (ざせき),좌석,여행
日本語,通路 (つうろ),통로,여행
日本語,窓 (まど),창문,여행
日本語,荷物 (にもつ),짐/수하물,여행
日本語,手荷物 (てにもつ),수하물,여행
日本語,スーツケース,여행 가방,여행
日本語,リュックサック,배낭,여행
日本語,機内持ち込み (きないもちこみ),기내 반입 가방,여행
日本語,チェックイン,체크인,여행
日本語,チェックアウト,체크아웃,여행
日本語,出発 (しゅっぱつ),출발,여행
日本語,到着 (とうちゃく),도착,여행
日本語,遅延 (ちえん),지연,여행
日本語,キャンセル,취소하다,여행
日本語,保安検査 (ほあんけんさ),보안 검색,여행
日本語,税関 (ぜいかん),세관,여행
日本語,入国審査 (にゅうこくしんさ),입국 심사,여행
日本語,乗客 (じょうきゃく),승객,여행
日本語,パイロット,조종사,여행
日本語,乗務員 (じょうむいん),승무원,여행
日本語,ターミナル,터미널,여행
日本語,免税店 (めんぜいてん),면세점,여행
日本語,お土産 (おみやげ),기념품,여행
日本語,通貨 (つうか),통화/화폐,여행
日本語,両替 (りょうがえ),환전,여행
日本語,現金 (げんきん),현금,여행
日本語,クレジットカード,신용카드,여행
日本語,ATM,현금 인출기,여행
日本語,ホテル,호텔,여행
日本語,ホステル,호스텔,여행
日本語,リゾート,리조트,여행
日本語,フロント,프런트/접수처,여행
日本語,ロビー,로비,여행
日本語,鍵 (かぎ),열쇠,여행
日本語,部屋 (へや),방,여행
日本語,シングルルーム,1인실,여행
日本語,ダブルルーム,2인실,여행
日本語,ベッド,침대,여행
日本語,シャワー,샤워,여행
日本語,タオル,수건,여행
日本語,地図 (ちず),지도,여행
日本語,ガイドブック,가이드북,여행
日本語,目的地 (もくてきち),목적지,여행
日本語,旅程 (りょてい),여행 일정,여행
日本語,見物 (けんぶつ),관광,여행
日本語,観光客 (かんこうきゃく),관광객,여행
日本語,ガイド,가이드/안내,여행
日本語,博物館 (はくぶつかん),박물관,여행
日本語,美術館 (びじゅつかん),미술관,여행
日本語,記念碑 (きねんひ),기념비,여행
日本語,像 (ぞう),동상,여행
日本語,城 (しろ),성,여행
日本語,宮殿 (きゅうでん),궁전,여행
日本語,寺 (てら),사원/절,여행
日本語,教会 (きょうかい),교회,여행
日本語,大聖堂 (だいせいどう),대성당,여행
日本語,公園 (こうえん),공원,여행
日本語,ビーチ,해변,여행
日本語,大洋 (たいよう),바다/대양,여행
日本語,海 (うみ),바다,여행
日本語,山 (やま),산,여행
日本語,湖 (みずうみ),호수,여행
日本語,川 (かわ),강,여행
日本語,景色 (けしき),경치/전망,여행
日本語,写真 (しゃしん),사진,여행
日本語,カメラ,카메라,여행
日本語,交通 (こうつう),교통,여행
日本語,列車 (れっしゃ),기차,여행
日本語,地下鉄 (ちかてつ),지하철,여행
日本語,メトロ,지하철(메트로),여행
日本語,駅 (えき),역,여행
日本語,プラットホーム,승강장,여행
日本語,バス,버스,여행
日本語,停留所 (ていりゅうじょ),정류장,여행
日本語,タクシー,택시,여행
日本語,レンタカー,렌터카,여행
日本語,運転手 (うんてんしゅ),운전기사,여행
日本語,フェリー,여객선,여행
日本語,ボート,보트/배,여행
日本語,港 (みなと),항구,여행
日本語,緊急 (きんきゅう),비상/응급,여행
日本語,助け (たすけ),도움,여행
日本語,警察 (けいさつ),경찰,여행
日本語,病院 (びょういん),병원,여행
日本語,薬局 (やっきょく),약국,여행
